Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4,282,286
 Rural,9,899,908
 Total,13,1181,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,-,128,128
 Rural,-,633,633
 Total,-,761,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,20,318,338
 Rural,3,2008,2011
 Total,23,2326,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,-,169,169
 Rural,-,3754,3754
 Total,-,3923,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,85,992,1077
 Rural,975,27480,28455
 Total,1060,28472,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,63,1159,1222
 Rural,489,24756,25245
 Total,552,25915,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,105,826,931
 Rural,1061,30370,31431
 Total,1166,31196,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,50,1088,1138
 Rural,1287,26798,28085
 Total,1337,27886,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1626,13756,15382
 Rural,403,9158,9561
 Total,2029,22914,24943
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,106,1134,1240
 Rural,746,23749,24495
 Total,852,24883,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,194,2213,2407
 Rural,633,19834,20467
 Total,827,22047,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,33,1044,1077
 Rural,651,20345,20996
 Total,684,21389,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,15,481,496
 Rural,103,3591,3694
 Total,118,4072,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,45,579,624
 Rural,120,3533,3653
 Total,165,4112,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1295,20253,21548
 Rural,1054,31747,32801
 Total,2349,52000,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,90,1052,1142
 Rural,1125,30721,31846
 Total,1215,31773,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,309,3262,3571
 Rural,598,14356,14954
 Total,907,17618,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,34,1092,1126
 Rural,582,18221,18803
 Total,616,19313,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,115,1096,1211
 Rural,180,5737,5917
 Total,295,6833,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,766,11814,12580
 Rural,532,12369,12901
 Total,1298,24183,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,35,1012,1047
 Rural,387,7442,7829
 Total,422,8454,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,124,2231,2355
 Rural,16,2494,2510
 Total,140,4725,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,17,698,715
 Rural,60,2329,2389
 Total,77,3027,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,32,254,286
 Rural,96,3380,3476
 Total,128,3634,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4059,50833,54892
 Rural,1323,50917,52240
 Total,5382,101750,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,288,3341,3629
 Rural,1148,27750,28898
 Total,1436,31091,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,355,3899,4254
 Rural,2115,39706,41821
 Total,2470,43605,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,520,4526,5046
 Rural,1156,30881,32037
 Total,1676,35407,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1102,11960,13062
 Rural,1067,30633,31700
 Total,2169,42593,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,618,6255,6873
 Rural,1251,43524,44775
 Total,1869,49779,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,457,8283,8740
 Rural,1327,35686,37013
 Total,1784,43969,45753
NotApp :,339,*,*
