Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,82,4172,4254
 Rural,129,41692,41821
 Total,211,45864,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,133,4913,5046
 Rural,163,31874,32037
 Total,296,36787,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,276,12786,13062
 Rural,112,31588,31700
 Total,388,44374,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,164,6709,6873
 Rural,255,44520,44775
 Total,419,51229,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,210,8530,8740
 Rural,303,36710,37013
 Total,513,45240,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,149,4716,4865
 Rural,54,16863,16917
 Total,203,21579,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
