Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,1427,7562,8989
 Rural,1643,1354,2997
 Total,3070,8916,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,160,148,308
 Rural,1348,1441,2789
 Total,1508,1589,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,515,2323,2838
 Rural,1725,2945,4670
 Total,2240,5268,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,352,1472,1824
 Rural,5319,3202,8521
 Total,5671,4674,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,314,1628,1942
 Rural,12450,5854,18304
 Total,12764,7482,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,44,2139,2183
 Rural,593,4585,5178
 Total,637,6724,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,213,3362,3575
 Rural,14904,17264,32168
 Total,15117,20626,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,16,237,253
 Rural,164,1239,1403
 Total,180,1476,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,-,538,538
 Rural,564,5875,6439
 Total,564,6413,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,1,374,375
 Rural,35,1158,1193
 Total,36,1532,1568
NotApp :,17,*,*
