Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Total,194,5268,5462
NotApp :,14,*,*
AREA # 130851,Chinshwehaw(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,247,-,247
 Bungalow/Brick house,148,203,351
 Semi-pacca house,7,15,22
 Wooden house,12,18,30
 Bamboo,40,92,132
 Hut 2 - 3 years,14,1,15
 Hut 1 year,13,1,14
 Other,138,1,139
 Total,619,331,950
NotApp :,28,*,*
AREA # 130852,Mawhtike(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,31,44,75
 Bungalow/Brick house,5,186,191
 Semi-pacca house,20,1130,1150
 Wooden house,22,531,553
 Bamboo,-,789,789
 Hut 2 - 3 years,-,19,19
 Hut 1 year,-,6,6
 Other,7,1413,1420
 Total,85,4118,4203
NotApp :,14,*,*
AREA # 130901,Hopan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,357,219,576
 Bungalow/Brick house,1639,915,2554
 Semi-pacca house,359,555,914
 Wooden house,128,1045,1173
 Bamboo,849,3842,4691
 Hut 2 - 3 years,8,38,46
 Hut 1 year,14,25,39
 Other,24,14,38
 Total,3378,6653,10031
NotApp :,72,*,*
AREA # 130902,Minemaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,107,30,137
 Bungalow/Brick house,215,276,491
 Semi-pacca house,188,354,542
 Wooden house,236,6649,6885
 Bamboo,84,2271,2355
 Hut 2 - 3 years,9,8,17
 Hut 1 year,2,2,4
 Other,12,2,14
 Total,853,9592,10445
NotApp :,71,*,*
AREA # 130903,Panwine,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,9,53,62
 Bungalow/Brick house,70,415,485
 Semi-pacca house,34,517,551
 Wooden house,254,6766,7020
 Bamboo,96,5478,5574
 Hut 2 - 3 years,6,159,165
 Hut 1 year,-,6,6
 Other,-,106,106
 Total,469,13500,13969
NotApp :,8,*,*
AREA # 130952,Panlon(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,20,-,20
 Bungalow/Brick house,131,6,137
 Semi-pacca house,82,53,135
 Wooden house,19,62,81
 Bamboo,356,383,739
 Hut 2 - 3 years,8,1,9
 Hut 1 year,6,-,6
 Other,39,19,58
 Total,661,524,1185
NotApp :,26,*,*
AREA # 131001,Makman,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,6,178,184
 Bungalow/Brick house,6,1,7
 Semi-pacca house,-,4,4
 Wooden house,43,543,586
 Bamboo,11,2300,2311
 Hut 2 - 3 years,-,189,189
 Hut 1 year,-,16,16
 Other,1,20,21
 Total,67,3251,3318
NotApp :,55,*,*
AREA # 131002,Pan San(Pan Kham),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1291,692,1983
 Bungalow/Brick house,284,1508,1792
 Semi-pacca house,318,702,1020
 Wooden house,126,3624,3750
 Bamboo,1,6994,6995
 Hut 2 - 3 years,-,368,368
 Hut 1 year,-,24,24
 Other,2,208,210
 Total,2022,14120,16142
NotApp :,744,*,*
AREA # 131003,Naphang,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2,48,50
 Bungalow/Brick house,41,280,321
 Semi-pacca house,67,563,630
 Wooden house,38,7760,7798
 Bamboo,3,7431,7434
 Hut 2 - 3 years,4,194,198
 Hut 1 year,-,6,6
 Other,-,37,37
 Total,155,16319,16474
NotApp :,40,*,*
AREA # 131051,ManKan(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,29,-,29
 Semi-pacca house,2,3,5
 Wooden house,9,34,43
 Bamboo,41,196,237
 Hut 2 - 3 years,-,1,1
 Total,81,234,315
NotApp :,19,*,*
AREA # 131101,Kengtung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1095,1499,2594
 Bungalow/Brick house,4951,3391,8342
 Semi-pacca house,1212,2240,3452
 Wooden house,876,9964,10840
 Bamboo,148,6209,6357
 Hut 2 - 3 years,96,314,410
 Hut 1 year,44,86,130
 Other,680,1291,1971
 Total,9102,24994,34096
NotApp :,512,*,*
AREA # 131102,Minekat,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,202,17,219
 Bungalow/Brick house,212,163,375
 Semi-pacca house,15,84,99
 Wooden house,41,3569,3610
 Bamboo,17,3032,3049
 Hut 2 - 3 years,68,362,430
 Hut 1 year,3,189,192
 Other,-,51,51
 Total,558,7467,8025
NotApp :,133,*,*
AREA # 131103,Mineyan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,198,26,224
 Bungalow/Brick house,337,1246,1583
 Semi-pacca house,125,732,857
 Wooden house,237,4952,5189
 Bamboo,82,1760,1842
 Hut 2 - 3 years,4,122,126
 Hut 1 year,2,2,4
 Other,4,290,294
 Total,989,9130,10119
NotApp :,153,*,*
AREA # 131104,Minelar,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,104,18,122
 Bungalow/Brick house,618,127,745
 Semi-pacca house,202,73,275
 Wooden house,630,3062,3692
 Bamboo,5,343,348
 Hut 2 - 3 years,-,5,5
 Hut 1 year,1,-,1
 Other,-,20,20
 Total,1560,3648,5208
NotApp :,231,*,*
AREA # 131151,Mine Pauk(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,-,222,222
 Bungalow/Brick house,-,1656,1656
 Semi-pacca house,-,932,932
 Wooden house,-,4114,4114
 Bamboo,-,2186,2186
 Hut 2 - 3 years,-,31,31
 Hut 1 year,-,6,6
 Other,-,138,138
 Total,-,9285,9285
NotApp :,65,*,*
AREA # 131201,Minesat,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,330,744,1074
 Bungalow/Brick house,561,2397,2958
 Semi-pacca house,160,978,1138
 Wooden house,212,1697,1909
 Bamboo,227,7777,8004
 Hut 2 - 3 years,66,534,600
 Hut 1 year,3,61,64
 Other,2,160,162
 Total,1561,14348,15909
NotApp :,313,*,*
AREA # 131202,Minepyin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,133,16,149
 Bungalow/Brick house,172,257,429
 Semi-pacca house,274,445,719
 Wooden house,275,2617,2892
 Bamboo,408,5750,6158
 Hut 2 - 3 years,7,144,151
 Hut 1 year,1,20,21
 Other,63,23,86
 Total,1333,9272,10605
NotApp :,144,*,*
AREA # 131203,Minetung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,127,121,248
 Bungalow/Brick house,123,74,197
 Semi-pacca house,186,79,265
 Wooden house,500,630,1130
 Bamboo,182,2067,2249
 Hut 2 - 3 years,1,157,158
 Hut 1 year,-,1,1
 Other,-,10,10
 Total,1119,3139,4258
NotApp :,57,*,*
AREA # 131251,Minekoke(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,6,104,110
 Bungalow/Brick house,27,59,86
 Semi-pacca house,17,35,52
 Wooden house,135,396,531
 Bamboo,76,2094,2170
 Hut 2 - 3 years,6,227,233
 Hut 1 year,6,2,8
 Other,11,1,12
 Total,284,2918,3202
NotApp :,77,*,*
AREA # 131252,Tontar(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,47,23,70
 Bungalow/Brick house,39,21,60
 Semi-pacca house,72,10,82
 Wooden house,128,600,728
 Bamboo,134,1435,1569
 Hut 2 - 3 years,1,151,152
 Hut 1 year,1,18,19
 Other,5,9,14
 Total,427,2267,2694
NotApp :,33,*,*
AREA # 131253,Ponparkyin(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,86,167,253
 Bungalow/Brick house,78,546,624
 Semi-pacca house,58,327,385
 Wooden house,386,1663,2049
 Bamboo,111,3698,3809
 Hut 2 - 3 years,2,188,190
 Hut 1 year,-,14,14
 Other,-,10,10
 Total,721,6613,7334
NotApp :,83,*,*
AREA # 131254,Monehta(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,20,-,20
 Bungalow/Brick house,2,1,3
 Semi-pacca house,6,4,10
 Wooden house,8,33,41
 Bamboo,39,711,750
 Hut 2 - 3 years,9,78,87
 Hut 1 year,5,-,5
 Other,2,11,13
 Total,91,838,929
NotApp :,3,*,*
AREA # 131301,Tachileik,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,4701,3506,8207
 Bungalow/Brick house,4422,6689,11111
 Semi-pacca house,1023,2531,3554
 Wooden house,411,2895,3306
 Bamboo,336,4156,4492
 Hut 2 - 3 years,85,144,229
 Hut 1 year,17,47,64
 Other,99,117,216
 Total,11094,20085,31179
NotApp :,515,*,*
AREA # 131351,Talay(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,86,33,119
 Bungalow/Brick house,333,649,982
 Semi-pacca house,208,539,747
 Wooden house,126,901,1027
 Bamboo,99,940,1039
 Hut 2 - 3 years,17,41,58
 Hut 1 year,4,12,16
 Other,-,30,30
 Total,873,3145,4018
NotApp :,85,*,*
AREA # 131352,Kenglat(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,27,8,35
 Bungalow/Brick house,230,186,416
 Semi-pacca house,241,238,479
 Wooden house,173,718,891
 Bamboo,29,550,579
 Hut 2 - 3 years,4,8,12
 Hut 1 year,46,6,52
 Other,12,-,12
 Total,762,1714,2476
NotApp :,39,*,*
AREA # 131401,Minephyat,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,186,413,599
 Bungalow/Brick house,569,346,915
 Semi-pacca house,184,341,525
 Wooden house,211,1818,2029
 Bamboo,159,1804,1963
 Hut 2 - 3 years,8,76,84
 Hut 1 year,-,12,12
 Other,6,32,38
 Total,1323,4842,6165
NotApp :,161,*,*
AREA # 131402,Mineyaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,10,227,237
 Bungalow/Brick house,399,838,1237
 Semi-pacca house,250,948,1198
 Wooden house,458,2670,3128
 Bamboo,65,429,494
 Hut 2 - 3 years,4,16,20
 Hut 1 year,3,8,11
 Other,1,3,4
 Total,1190,5139,6329
NotApp :,131,*,*
AREA # 131451,Mineyu(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,14,361,375
 Bungalow/Brick house,55,450,505
 Semi-pacca house,49,867,916
 Wooden house,76,6634,6710
 Bamboo,30,2087,2117
 Hut 2 - 3 years,1,94,95
 Hut 1 year,-,36,36
 Other,6,107,113
 Total,231,10636,10867
NotApp :,165,*,*
AREA # 140101,Kangyidaunt,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,25,70,95
 Bungalow/Brick house,168,482,650
 Semi-pacca house,203,1139,1342
 Wooden house,1357,17605,18962
 Bamboo,879,19804,20683
 Hut 2 - 3 years,21,642,663
 Hut 1 year,17,258,275
 Other,4,292,296
 Total,2674,40292,42966
NotApp :,345,*,*
AREA # 140102,Kyaungon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,15,28,43
 Bungalow/Brick house,284,518,802
 Semi-pacca house,242,780,1022
 Wooden house,2003,11674,13677
 Bamboo,1352,23967,25319
 Hut 2 - 3 years,12,258,270
 Hut 1 year,16,183,199
 Other,26,44,70
 Total,3950,37452,41402
NotApp :,278,*,*
AREA # 140103,Kyonpyaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,111,6,117
 Bungalow/Brick house,530,895,1425
 Semi-pacca house,261,1309,1570
 Wooden house,2495,15154,17649
 Bamboo,2562,35583,38145
 Hut 2 - 3 years,12,254,266
 Hut 1 year,20,188,208
 Other,8,100,108
 Total,5999,53489,59488
NotApp :,394,*,*
AREA # 140104,Ngaputaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,10,22,32
 Bungalow/Brick house,60,107,167
 Semi-pacca house,165,639,804
 Wooden house,1471,18574,20045
 Bamboo,791,11154,11945
 Hut 2 - 3 years,31,2144,2175
 Hut 1 year,11,1101,1112
 Other,2,1094,1096
 Total,2541,34835,37376
NotApp :,231,*,*
AREA # 140105,Pathein,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2959,654,3613
 Bungalow/Brick house,3598,281,3879
 Semi-pacca house,2894,578,3472
 Wooden house,21194,14311,35505
 Bamboo,5619,11255,16874
 Hut 2 - 3 years,344,646,990
 Hut 1 year,195,350,545
 Other,638,520,1158
 Total,37441,28595,66036
NotApp :,851,*,*
AREA # 140106,Yekyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,16,26,42
 Bungalow/Brick house,228,163,391
 Semi-pacca house,150,363,513
 Wooden house,1583,10283,11866
 Bamboo,781,14049,14830
 Hut 2 - 3 years,3,69,72
 Hut 1 year,4,70,74
 Other,1,13,14
 Total,2766,25036,27802
NotApp :,199,*,*
AREA # 140107,Thapaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,24,563,587
 Bungalow/Brick house,73,168,241
 Semi-pacca house,153,312,465
 Wooden house,1149,20357,21506
 Bamboo,302,12201,12503
 Hut 2 - 3 years,21,1082,1103
 Hut 1 year,12,609,621
 Other,6,205,211
 Total,1740,35497,37237
NotApp :,376,*,*
AREA # 140151,Ngayokaung(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,-,1,1
 Bungalow/Brick house,18,12,30
 Semi-pacca house,42,89,131
 Wooden house,549,5839,6388
 Bamboo,218,1761,1979
 Hut 2 - 3 years,2,792,794
 Hut 1 year,4,417,421
 Other,-,457,457
 Total,833,9368,10201
NotApp :,68,*,*
AREA # 140152,Hainggyikyun(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,297,17,314
 Bungalow/Brick house,26,52,78
 Semi-pacca house,48,225,273
 Wooden house,2354,17706,20060
 Bamboo,672,5778,6450
 Hut 2 - 3 years,28,956,984
 Hut 1 year,40,600,640
 Other,84,192,276
 Total,3549,25526,29075
NotApp :,204,*,*
AREA # 140153,Shwethaungyan(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3,58,61
 Bungalow/Brick house,13,155,168
 Semi-pacca house,24,272,296
 Wooden house,519,5682,6201
 Bamboo,124,1638,1762
 Hut 2 - 3 years,89,772,861
 Hut 1 year,24,318,342
 Other,23,467,490
 Total,819,9362,10181
NotApp :,202,*,*
AREA # 140154,Ngwehsaung(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,47,20,67
 Bungalow/Brick house,95,53,148
 Semi-pacca house,147,146,293
 Wooden house,1658,3677,5335
 Bamboo,577,2144,2721
 Hut 2 - 3 years,30,304,334
 Hut 1 year,38,370,408
 Other,83,81,164
 Total,2675,6795,9470
NotApp :,180,*,*
AREA # 140155,Ngathaingchaung(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,13,52,65
 Bungalow/Brick house,312,33,345
 Semi-pacca house,319,203,522
 Wooden house,2322,9505,11827
 Bamboo,1481,7884,9365
 Hut 2 - 3 years,46,269,315
 Hut 1 year,84,236,320
 Other,20,134,154
 Total,4597,18316,22913
NotApp :,199,*,*
AREA # 140201,Kyaiklatt,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,69,31,100
 Bungalow/Brick house,507,343,850
 Semi-pacca house,448,612,1060
 Wooden house,2606,12251,14857
 Bamboo,1664,22579,24243
 Hut 2 - 3 years,77,1387,1464
 Hut 1 year,34,901,935
 Other,12,227,239
 Total,5417,38331,43748
NotApp :,526,*,*
AREA # 140202,Daydaye,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,29,28,57
 Bungalow/Brick house,247,262,509
 Semi-pacca house,301,710,1011
 Wooden house,1726,12309,14035
 Bamboo,1192,29002,30194
 Hut 2 - 3 years,27,1557,1584
 Hut 1 year,6,744,750
 Other,38,432,470
 Total,3566,45044,48610
NotApp :,479,*,*
AREA # 140203,Phyapon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,573,48,621
 Bungalow/Brick house,1117,315,1432
 Semi-pacca house,637,366,1003
 Wooden house,3949,7328,11277
 Bamboo,3259,19655,22914
 Hut 2 - 3 years,157,1875,2032
 Hut 1 year,108,1372,1480
 Other,254,617,871
 Total,10054,31576,41630
NotApp :,366,*,*
AREA # 140204,Bogale,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,151,27,178
 Bungalow/Brick house,832,425,1257
 Semi-pacca house,637,745,1382
 Wooden house,4637,18473,23110
 Bamboo,2936,24771,27707
 Hut 2 - 3 years,402,10981,11383
 Hut 1 year,229,7697,7926
 Other,291,2753,3044
 Total,10115,65872,75987
NotApp :,607,*,*
AREA # 140251,Ahmar(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,24,21,45
 Bungalow/Brick house,26,89,115
 Semi-pacca house,27,170,197
 Wooden house,456,5475,5931
 Bamboo,170,15103,15273
 Hut 2 - 3 years,44,3060,3104
 Hut 1 year,24,2315,2339
 Other,6,776,782
 Total,777,27009,27786
NotApp :,383,*,*
AREA # 140301,Nyaungdon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,111,200,311
 Bungalow/Brick house,508,895,1403
 Semi-pacca house,480,1357,1837
 Wooden house,3276,17618,20894
 Bamboo,1359,24417,25776
 Hut 2 - 3 years,63,344,407
 Hut 1 year,80,273,353
 Other,23,197,220
 Total,5900,45301,51201
NotApp :,457,*,*
AREA # 140302,Danubyu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,36,43,79
 Bungalow/Brick house,420,629,1049
 Semi-pacca house,389,954,1343
 Wooden house,2663,14011,16674
 Bamboo,1606,23691,25297
 Hut 2 - 3 years,29,168,197
 Hut 1 year,30,84,114
 Other,7,37,44
 Total,5180,39617,44797
NotApp :,310,*,*
AREA # 140303,Pantanaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,90,35,125
 Bungalow/Brick house,211,692,903
 Semi-pacca house,143,1249,1392
 Wooden house,2239,17405,19644
 Bamboo,1544,35936,37480
 Hut 2 - 3 years,38,247,285
 Hut 1 year,17,350,367
 Other,10,71,81
 Total,4292,55985,60277
NotApp :,434,*,*
AREA # 140304,Maubin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,272,158,430
 Bungalow/Brick house,917,623,1540
 Semi-pacca house,996,1154,2150
 Wooden house,4635,23776,28411
 Bamboo,2050,35529,37579
 Hut 2 - 3 years,74,669,743
 Hut 1 year,89,585,674
 Other,104,173,277
 Total,9137,62667,71804
NotApp :,629,*,*
AREA # 140401,Myaungmya,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,210,286,496
 Bungalow/Brick house,1005,610,1615
 Semi-pacca house,968,1166,2134
 Wooden house,6766,26311,33077
 Bamboo,2944,22196,25140
 Hut 2 - 3 years,280,1754,2034
 Hut 1 year,149,781,930
 Other,191,555,746
 Total,12513,53659,66172
NotApp :,571,*,*
AREA # 140402,Wakema,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,31,61,92
 Bungalow/Brick house,254,664,918
 Semi-pacca house,271,1361,1632
 Wooden house,3128,27764,30892
 Bamboo,1307,29651,30958
 Hut 2 - 3 years,50,1403,1453
 Hut 1 year,36,894,930
 Other,228,345,573
 Total,5305,62143,67448
NotApp :,575,*,*
AREA # 140403,Einme,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,79,49,128
 Bungalow/Brick house,261,591,852
 Semi-pacca house,237,932,1169
 Wooden house,1713,16500,18213
 Bamboo,720,24677,25397
 Hut 2 - 3 years,4,349,353
 Hut 1 year,3,202,205
 Other,29,109,138
 Total,3046,43409,46455
NotApp :,362,*,*
AREA # 140501,Mawlamyinegyun,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,97,171,268
 Bungalow/Brick house,417,468,885
 Semi-pacca house,592,1108,1700
 Wooden house,4276,28107,32383
 Bamboo,1244,27959,29203
 Hut 2 - 3 years,421,4789,5210
 Hut 1 year,285,3566,3851
 Other,251,1135,1386
 Total,7583,67303,74886
NotApp :,436,*,*
AREA # 140502,Labutta,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,84,125,209
 Bungalow/Brick house,469,239,708
 Semi-pacca house,302,487,789
 Wooden house,4369,21544,25913
 Bamboo,1756,21003,22759
 Hut 2 - 3 years,128,1958,2086
 Hut 1 year,65,1988,2053
 Other,30,599,629
 Total,7203,47943,55146
NotApp :,425,*,*
AREA # 140551,Pyinsalu(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,18,14,32
 Bungalow/Brick house,-,25,25
 Semi-pacca house,5,64,69
 Wooden house,460,12003,12463
 Bamboo,16,4700,4716
 Hut 2 - 3 years,-,1238,1238
 Hut 1 year,1,1562,1563
 Other,1,330,331
 Total,501,19936,20437
NotApp :,161,*,*
AREA # 140601,Kyangin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,9,142,151
 Bungalow/Brick house,564,160,724
 Semi-pacca house,369,436,805
 Wooden house,3504,15085,18589
 Bamboo,798,4691,5489
 Hut 2 - 3 years,9,562,571
 Hut 1 year,4,378,382
 Other,49,97,146
 Total,5306,21551,26857
NotApp :,241,*,*
AREA # 140602,Zalun,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,24,14,38
 Bungalow/Brick house,250,349,599
 Semi-pacca house,380,699,1079
 Wooden house,2367,14083,16450
 Bamboo,2183,20967,23150
 Hut 2 - 3 years,26,453,479
 Hut 1 year,18,202,220
 Other,9,49,58
 Total,5257,36816,42073
NotApp :,220,*,*
AREA # 140603,Myanaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,17,68,85
 Bungalow/Brick house,546,497,1043
 Semi-pacca house,581,1695,2276
 Wooden house,3675,30130,33805
 Bamboo,1186,19568,20754
 Hut 2 - 3 years,17,1107,1124
 Hut 1 year,21,692,713
 Other,6,114,120
 Total,6049,53871,59920
NotApp :,437,*,*
AREA # 140604,Laymyethna,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,5,6,11
 Bungalow/Brick house,26,95,121
 Semi-pacca house,95,345,440
 Wooden house,414,12217,12631
 Bamboo,199,11928,12127
 Hut 2 - 3 years,6,510,516
 Hut 1 year,16,318,334
 Other,9,55,64
 Total,770,25474,26244
NotApp :,310,*,*
AREA # 140605,Hinthada,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,221,222,443
 Bungalow/Brick house,1839,723,2562
 Semi-pacca house,1167,940,2107
 Wooden house,9161,19560,28721
 Bamboo,7112,44174,51286
 Hut 2 - 3 years,155,335,490
 Hut 1 year,71,295,366
 Other,103,51,154
 Total,19829,66300,86129
NotApp :,639,*,*
AREA # 140606,Ingapu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,23,202,225
 Bungalow/Brick house,148,239,387
 Semi-pacca house,230,483,713
 Wooden house,2227,26967,29194
 Bamboo,856,24647,25503
 Hut 2 - 3 years,8,573,581
 Hut 1 year,15,432,447
 Other,71,108,179
 Total,3578,53651,57229
NotApp :,515,*,*
AREA # 150101,Tatkon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,385,1927,2312
 Bungalow/Brick house,1112,1055,2167
 Semi-pacca house,745,1480,2225
 Wooden house,3443,22581,26024
 Bamboo,3254,14566,17820
 Hut 2 - 3 years,75,654,729
 Hut 1 year,16,192,208
 Other,116,146,262
 Total,9146,42601,51747
NotApp :,415,*,*
AREA # 150102,Zeyarthiri,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,6127,570,6697
 Bungalow/Brick house,244,709,953
 Semi-pacca house,434,851,1285
 Wooden house,799,9730,10529
 Bamboo,523,5579,6102
 Hut 2 - 3 years,14,181,195
 Hut 1 year,29,29,58
 Other,76,180,256
 Total,8246,17829,26075
NotApp :,326,*,*
AREA # 150103,Ottarathiri,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,483,905,1388
 Bungalow/Brick house,766,387,1153
 Semi-pacca house,812,531,1343
 Wooden house,1029,5845,6874
 Bamboo,1440,5542,6982
 Hut 2 - 3 years,118,340,458
 Hut 1 year,205,178,383
 Other,42,38,80
 Total,4895,13766,18661
NotApp :,325,*,*
AREA # 150104,Pobbathiri,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2651,990,3641
 Bungalow/Brick house,1409,588,1997
 Semi-pacca house,530,715,1245
 Wooden house,4509,9118,13627
 Bamboo,913,5444,6357
 Hut 2 - 3 years,131,225,356
 Hut 1 year,76,169,245
 Other,29,119,148
 Total,10248,17368,27616
NotApp :,382,*,*
AREA # 150201,Pyinmana,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,860,963,1823
 Bungalow/Brick house,2478,821,3299
 Semi-pacca house,1683,1121,2804
 Wooden house,6514,13063,19577
 Bamboo,2573,8512,11085
 Hut 2 - 3 years,117,378,495
 Hut 1 year,50,127,177
 Other,181,222,403
 Total,14456,25207,39663
NotApp :,695,*,*
AREA # 150202,Lewe,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,119,1419,1538
 Bungalow/Brick house,631,1185,1816
 Semi-pacca house,710,2041,2751
 Wooden house,3231,31690,34921
 Bamboo,1338,21077,22415
 Hut 2 - 3 years,26,742,768
 Hut 1 year,8,299,307
 Other,60,598,658
 Total,6123,59051,65174
NotApp :,584,*,*
AREA # 150203,Zabuthiri,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,17383,23,17406
 Bungalow/Brick house,980,29,1009
 Semi-pacca house,988,62,1050
 Wooden house,2368,478,2846
 Bamboo,2503,1003,3506
 Hut 2 - 3 years,252,1,253
 Hut 1 year,126,-,126
 Other,122,2,124
