Urban_Rural,Sex_Male,Sex_Female,Sex_Total
AREA # 050803,Leshi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,885,820,1705
 Rural,3606,3750,7356
 Total,4491,4570,9061
AREA # 050804,Lahe,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1700,1441,3141
 Rural,19743,20307,40050
 Total,21443,21748,43191
AREA # 050805,Nanyun,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1396,1048,2444
 Rural,4398,3672,8070
 Total,5794,4720,10514
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,497,490,987
 Rural,216,227,443
 Total,713,717,1430
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,705,779,1484
 Rural,2041,2306,4347
 Total,2746,3085,5831
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,594,394,988
 Rural,2242,2105,4347
 Total,2836,2499,5335
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1094,1084,2178
 Rural,6978,6541,13519
 Total,8072,7625,15697
AREA # 050855,Donhee(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,929,592,1521
 Rural,11888,12360,24248
 Total,12817,12952,25769
AREA # 050901,Yinmarpin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2259,2547,4806
 Rural,63715,72959,136674
 Total,65974,75506,141480
AREA # 050902,Salingyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2465,3088,5553
 Rural,53264,62991,116255
 Total,55729,66079,121808
AREA # 050903,Palae,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1943,2152,4095
 Rural,64866,75045,139911
 Total,66809,77197,144006
AREA # 050904,Kani,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2216,2671,4887
 Rural,60249,69405,129654
 Total,62465,72076,134541
AREA # 060101,Dawei,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,38008,42109,80117
 Rural,22036,23452,45488
 Total,60044,65561,125605
AREA # 060102,Lounglon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2457,2877,5334
 Rural,53101,59882,112983
 Total,55558,62759,118317
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5642,5663,11305
 Rural,44779,49578,94357
 Total,50421,55241,105662
AREA # 060104,Yebyu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2327,2417,4744
 Rural,48455,47569,96024
 Total,50782,49986,100768
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1760,1582,3342
 Rural,8849,9168,18017
 Total,10609,10750,21359
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1621,1493,3114
 Rural,10038,8713,18751
 Total,11659,10206,21865
AREA # 060201,Myeik,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,55056,60085,115141
 Rural,84536,84812,169348
 Total,139592,144897,284489
AREA # 060202,Kyunsu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3054,2494,5548
 Rural,84723,81482,166205
 Total,87777,83976,171753
AREA # 060203,Palaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9206,9730,18936
 Rural,36160,38342,74502
 Total,45366,48072,93438
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2746,2768,5514
 Rural,52071,49268,101339
 Total,54817,52036,106853
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3064,3112,6176
 Rural,15055,15323,30378
 Total,18119,18435,36554
AREA # 060301,Kawthoung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,28657,29292,57949
 Rural,30850,28181,59031
 Total,59507,57473,116980
AREA # 060302,Bokepyin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2707,2677,5384
 Rural,22285,19152,41437
 Total,24992,21829,46821
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5924,4833,10757
 Rural,6732,5551,12283
 Total,12656,10384,23040
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1965,1681,3646
 Rural,6833,6125,12958
 Total,8798,7806,16604
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,788,624,1412
 Rural,9134,7747,16881
 Total,9922,8371,18293
AREA # 070101,Bago,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,119243,135181,254424
 Rural,116286,120724,237010
 Total,235529,255905,491434
AREA # 070102,Tanatpin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7381,8441,15822
 Rural,61755,67710,129465
 Total,69136,76151,145287
AREA # 070103,Kawa,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8050,9346,17396
 Rural,85754,94213,179967
 Total,93804,103559,197363
AREA # 070104,Waw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10752,12391,23143
 Rural,72947,79924,152871
 Total,83699,92315,176014
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,27863,31381,59244
 Rural,66601,73638,140239
 Total,94464,105019,199483
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,14849,16807,31656
 Rural,105175,114381,219556
 Total,120024,131188,251212
AREA # 070107,Daik U,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,18054,20423,38477
 Rural,78308,85745,164053
 Total,96362,106168,202530
AREA # 070108,Shwegyin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11994,12585,24579
 Rural,41098,41785,82883
 Total,53092,54370,107462
AREA # 070201,Toungoo,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,50614,57975,108589
 Rural,74528,78939,153467
 Total,125142,136914,262056
AREA # 070202,Yaedashe,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11364,13056,24420
 Rural,91934,97239,189173
 Total,103298,110295,213593
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5051,5764,10815
 Rural,49236,53278,102514
 Total,54287,59042,113329
AREA # 070204,Pyu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,29680,34200,63880
 Rural,91443,101950,193393
 Total,121123,136150,257273
AREA # 070205,Oatwin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6481,7662,14143
 Rural,68900,76785,145685
 Total,75381,84447,159828
AREA # 070206,Htantapin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4646,5243,9889
 Rural,50687,56700,107387
 Total,55333,61943,117276
AREA # 070301,Pyay,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,62903,71958,134861
 Rural,56767,60015,116782
 Total,119670,131973,251643
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6477,7560,14037
 Rural,54464,56355,110819
 Total,60941,63915,124856
AREA # 070303,Padaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8187,9491,17678
 Rural,61097,65439,126536
 Total,69284,74930,144214
AREA # 070304,Paunde,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11974,13481,25455
 Rural,54238,57868,112106
 Total,66212,71349,137561
AREA # 070305,Thegon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7280,8472,15752
 Rural,54527,60678,115205
 Total,61807,69150,130957
AREA # 070306,Shwedaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7956,9725,17681
 Rural,48681,55309,103990
 Total,56637,65034,121671
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,17282,18533,35815
 Rural,55490,59799,115289
 Total,72772,78332,151104
AREA # 070402,Letpadan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11638,13154,24792
 Rural,72758,79857,152615
 Total,84396,93011,177407
AREA # 070403,Minhla,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5384,6313,11697
 Rural,53193,57601,110794
 Total,58577,63914,122491
AREA # 070404,Okpo,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5304,6221,11525
 Rural,55401,59736,115137
 Total,60705,65957,126662
AREA # 070405,Zigon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7076,8157,15233
 Rural,25091,27199,52290
 Total,32167,35356,67523
AREA # 070406,Nattalin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8632,10297,18929
 Rural,73451,79761,153212
 Total,82083,90058,172141
AREA # 070407,Monyo,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4478,4979,9457
 Rural,56186,61927,118113
 Total,60664,66906,127570
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10564,12383,22947
 Rural,45185,49301,94486
 Total,55749,61684,117433
AREA # 080101,Magway,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,43890,50148,94038
 Rural,91213,103996,195209
 Total,135103,154144,289247
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,20271,24849,45120
 Rural,39957,49150,89107
 Total,60228,73999,134227
AREA # 080103,Chauk,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,20281,24795,45076
 Rural,62104,78009,140113
 Total,82385,102804,185189
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,21742,24281,46023
 Rural,100964,112873,213837
 Total,122706,137154,259860
AREA # 080105,Myothit,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3706,4374,8080
