Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Grade 10,4761,6368,11129
 Grade 11,6514,6888,13402
 College,2299,2147,4446
 Vocational training,74,125,199
 Undergraduate diploma,174,245,419
 Graduate,5032,3383,8415
 Postgraduate diploma,128,121,249
 Master degree,64,38,102
 PhD,7,5,12
 Other,415,4080,4495
 Total,80611,172113,252724
NotApp :,24544,*,*
AREA # 120106,Htantabin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,963,12619,13582
 Grade 1,361,5465,5826
 Grade 2,450,8531,8981
 Grade 3,535,11386,11921
 Grade 4,1009,22020,23029
 Grade 5,954,21895,22849
 Grade 6,517,7507,8024
 Grade 7,424,6588,7012
 Grade 8,506,6399,6905
 Grade 9,428,5384,5812
 Grade 10,772,6887,7659
 Grade 11,398,1328,1726
 College,265,1529,1794
 Vocational training,10,86,96
 Undergraduate diploma,28,135,163
 Graduate,518,2282,2800
 Postgraduate diploma,27,161,188
 Master degree,8,32,40
 PhD,-,6,6
 Other,38,3663,3701
 Total,8211,123903,132114
NotApp :,13678,*,*
AREA # 120107,Shwepyitha,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,13677,3763,17440
 Grade 1,6279,1794,8073
 Grade 2,8104,2301,10405
 Grade 3,12544,3355,15899
 Grade 4,18188,5962,24150
 Grade 5,38704,7685,46389
 Grade 6,21132,4498,25630
 Grade 7,15600,3912,19512
 Grade 8,18516,4615,23131
 Grade 9,23380,4874,28254
 Grade 10,20420,6050,26470
 Grade 11,32281,4273,36554
 College,8538,1745,10283
 Vocational training,410,64,474
 Undergraduate diploma,652,143,795
 Graduate,17640,3231,20871
 Postgraduate diploma,393,60,453
 Master degree,244,43,287
 PhD,67,5,72
 Other,1387,144,1531
 Total,258156,58517,316673
NotApp :,26853,*,*
AREA # 120108,Hlinethaya,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,24554,12654,37208
 Grade 1,10756,6031,16787
 Grade 2,14160,7612,21772
 Grade 3,21743,11794,33537
 Grade 4,38734,19799,58533
 Grade 5,66731,35481,102212
 Grade 6,36857,16677,53534
 Grade 7,29365,12095,41460
 Grade 8,35393,13116,48509
 Grade 9,39063,14886,53949
 Grade 10,41808,13937,55745
 Grade 11,39184,11797,50981
 College,14690,3879,18569
 Vocational training,424,114,538
 Undergraduate diploma,982,357,1339
 Graduate,27316,6676,33992
 Postgraduate diploma,507,66,573
 Master degree,360,66,426
 PhD,76,17,93
 Other,2274,1107,3381
 Total,444977,188161,633138
NotApp :,54729,*,*
AREA # 120201,Thingangyun,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,8808,-,8808
 Grade 1,2919,-,2919
 Grade 2,4518,-,4518
 Grade 3,7135,-,7135
 Grade 4,9640,-,9640
 Grade 5,21471,-,21471
 Grade 6,11685,-,11685
 Grade 7,9482,-,9482
 Grade 8,11793,-,11793
 Grade 9,16636,-,16636
 Grade 10,13781,-,13781
 Grade 11,31857,-,31857
 College,10818,-,10818
 Vocational training,583,-,583
 Undergraduate diploma,1499,-,1499
 Graduate,32249,-,32249
 Postgraduate diploma,898,-,898
 Master degree,1031,-,1031
 PhD,227,-,227
 Other,345,-,345
 Total,197375,-,197375
NotApp :,12111,*,*
AREA # 120202,Yankin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2547,-,2547
 Grade 1,996,-,996
 Grade 2,1366,-,1366
 Grade 3,1980,-,1980
 Grade 4,2833,-,2833
 Grade 5,5650,-,5650
 Grade 6,3320,-,3320
 Grade 7,2712,-,2712
 Grade 8,3497,-,3497
 Grade 9,4973,-,4973
 Grade 10,6134,-,6134
 Grade 11,9150,-,9150
 College,4140,-,4140
 Vocational training,186,-,186
 Undergraduate diploma,478,-,478
 Graduate,15474,-,15474
 Postgraduate diploma,550,-,550
 Master degree,773,-,773
 PhD,220,-,220
 Other,393,-,393
 Total,67372,-,67372
NotApp :,3574,*,*
AREA # 120203,South Okkalapa,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4244,-,4244
 Grade 1,2175,-,2175
 Grade 2,2997,-,2997
 Grade 3,4541,-,4541
 Grade 4,7081,-,7081
 Grade 5,16102,-,16102
 Grade 6,8692,-,8692
 Grade 7,7205,-,7205
 Grade 8,9322,-,9322
 Grade 9,13260,-,13260
 Grade 10,12025,-,12025
 Grade 11,25488,-,25488
 College,9414,-,9414
 Vocational training,455,-,455
 Undergraduate diploma,826,-,826
 Graduate,27028,-,27028
 Postgraduate diploma,765,-,765
 Master degree,878,-,878
 PhD,221,-,221
 Other,343,-,343
 Total,153062,-,153062
NotApp :,8064,*,*
AREA # 120204,North Okkalapa,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,12913,-,12913
 Grade 1,5504,-,5504
 Grade 2,7323,-,7323
 Grade 3,11169,-,11169
 Grade 4,18523,-,18523
 Grade 5,36402,-,36402
 Grade 6,20894,-,20894
 Grade 7,17155,-,17155
 Grade 8,22320,-,22320
 Grade 9,29121,-,29121
 Grade 10,29029,-,29029
 Grade 11,45409,-,45409
 College,15702,-,15702
 Vocational training,656,-,656
 Undergraduate diploma,982,-,982
 Graduate,37402,-,37402
 Postgraduate diploma,821,-,821
 Master degree,718,-,718
 PhD,189,-,189
 Other,578,-,578
 Total,312810,-,312810
NotApp :,20483,*,*
AREA # 120205,Thakayta,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,9272,-,9272
 Grade 1,3555,-,3555
 Grade 2,5086,-,5086
 Grade 3,7488,-,7488
 Grade 4,12150,-,12150
 Grade 5,22375,-,22375
 Grade 6,13207,-,13207
 Grade 7,11351,-,11351
 Grade 8,14492,-,14492
 Grade 9,19620,-,19620
 Grade 10,18854,-,18854
 Grade 11,30212,-,30212
 College,11010,-,11010
 Vocational training,508,-,508
 Undergraduate diploma,748,-,748
 Graduate,26031,-,26031
 Postgraduate diploma,600,-,600
 Master degree,508,-,508
 PhD,111,-,111
 Other,524,-,524
 Total,207702,-,207702
NotApp :,12854,*,*
AREA # 120206,Dawbon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4849,-,4849
 Grade 1,2353,-,2353
 Grade 2,3429,-,3429
 Grade 3,4049,-,4049
 Grade 4,8704,-,8704
 Grade 5,6188,-,6188
 Grade 6,3902,-,3902
 Grade 7,4437,-,4437
 Grade 8,6229,-,6229
 Grade 9,5305,-,5305
 Grade 10,9067,-,9067
 Grade 11,1825,-,1825
 College,2593,-,2593
 Vocational training,108,-,108
 Undergraduate diploma,293,-,293
 Graduate,6166,-,6166
 Postgraduate diploma,191,-,191
 Master degree,113,-,113
 PhD,16,-,16
 Other,75,-,75
 Total,69892,-,69892
NotApp :,5433,*,*
AREA # 120207,Tamway,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,6110,-,6110
 Grade 1,2897,-,2897
 Grade 2,3663,-,3663
 Grade 3,4644,-,4644
 Grade 4,10696,-,10696
 Grade 5,8446,-,8446
 Grade 6,5928,-,5928
 Grade 7,7797,-,7797
 Grade 8,11197,-,11197
 Grade 9,14090,-,14090
 Grade 10,21348,-,21348
 Grade 11,6138,-,6138
 College,9994,-,9994
 Vocational training,573,-,573
 Undergraduate diploma,1001,-,1001
 Graduate,39313,-,39313
 Postgraduate diploma,1135,-,1135
 Master degree,1186,-,1186
 PhD,247,-,247
 Other,600,-,600
 Total,157003,-,157003
NotApp :,8310,*,*
AREA # 120208,Pazuntaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1747,-,1747
 Grade 1,913,-,913
 Grade 2,976,-,976
 Grade 3,1227,-,1227
 Grade 4,2665,-,2665
 Grade 5,2638,-,2638
 Grade 6,1729,-,1729
 Grade 7,2006,-,2006
 Grade 8,2790,-,2790
 Grade 9,3004,-,3004
 Grade 10,5539,-,5539
 Grade 11,3677,-,3677
 College,3209,-,3209
 Vocational training,149,-,149
 Undergraduate diploma,326,-,326
 Graduate,12530,-,12530
 Postgraduate diploma,466,-,466
 Master degree,410,-,410
 PhD,105,-,105
 Other,149,-,149
 Total,46255,-,46255
NotApp :,2200,*,*
AREA # 120209,Botahtaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1310,-,1310
 Grade 1,512,-,512
 Grade 2,652,-,652
 Grade 3,953,-,953
 Grade 4,1361,-,1361
 Grade 5,2884,-,2884
 Grade 6,1765,-,1765
 Grade 7,1454,-,1454
 Grade 8,1922,-,1922
 Grade 9,2869,-,2869
 Grade 10,2591,-,2591
 Grade 11,6630,-,6630
 College,2882,-,2882
 Vocational training,129,-,129
 Undergraduate diploma,422,-,422
 Graduate,9663,-,9663
 Postgraduate diploma,389,-,389
 Master degree,354,-,354
 PhD,64,-,64
 Other,146,-,146
 Total,38952,-,38952
NotApp :,2043,*,*
AREA # 120210,Dagon Myothit(South),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,22482,-,22482
 Grade 1,8375,-,8375
 Grade 2,11486,-,11486
 Grade 3,17428,-,17428
 Grade 4,25600,-,25600
 Grade 5,47651,-,47651
 Grade 6,26751,-,26751
 Grade 7,21066,-,21066
 Grade 8,23988,-,23988
 Grade 9,29084,-,29084
 Grade 10,25291,-,25291
 Grade 11,44094,-,44094
 College,12067,-,12067
 Vocational training,762,-,762
 Undergraduate diploma,893,-,893
 Graduate,23963,-,23963
 Postgraduate diploma,638,-,638
 Master degree,375,-,375
 PhD,71,-,71
 Other,486,-,486
 Total,342551,-,342551
NotApp :,29095,*,*
AREA # 120211,Dagon Myothit(North),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,6669,-,6669
 Grade 1,3423,-,3423
 Grade 2,4217,-,4217
 Grade 3,6243,-,6243
 Grade 4,9084,-,9084
 Grade 5,19352,-,19352
 Grade 6,9959,-,9959
 Grade 7,8271,-,8271
 Grade 8,10744,-,10744
 Grade 9,14777,-,14777
 Grade 10,16557,-,16557
 Grade 11,30670,-,30670
 College,11522,-,11522
 Vocational training,727,-,727
 Undergraduate diploma,1509,-,1509
 Graduate,35357,-,35357
 Postgraduate diploma,865,-,865
 Master degree,1194,-,1194
 PhD,277,-,277
 Other,545,-,545
 Total,191962,-,191962
NotApp :,11986,*,*
AREA # 120212,Dagon Myothit(East),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,10016,1225,11241
 Grade 1,3336,245,3581
 Grade 2,4580,331,4911
 Grade 3,6601,612,7213
 Grade 4,10577,878,11455
 Grade 5,18708,1910,20618
 Grade 6,9725,647,10372
 Grade 7,7918,467,8385
 Grade 8,10084,416,10500
 Grade 9,11903,501,12404
 Grade 10,13987,387,14374
 Grade 11,16566,522,17088
 College,5595,155,5750
 Vocational training,274,3,277
 Undergraduate diploma,454,14,468
 Graduate,13202,190,13392
 Postgraduate diploma,359,3,362
 Master degree,279,5,284
 PhD,63,2,65
 Other,299,-,299
 Total,144526,8513,153039
NotApp :,12589,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,10479,1765,12244
 Grade 1,3530,524,4054
 Grade 2,4906,896,5802
 Grade 3,7378,1448,8826
 Grade 4,11301,1919,13220
 Grade 5,18698,3621,22319
 Grade 6,10641,1203,11844
 Grade 7,8013,788,8801
 Grade 8,9275,684,9959
 Grade 9,10868,746,11614
 Grade 10,10646,570,11216
 Grade 11,15223,756,15979
 College,4842,148,4990
 Vocational training,187,10,197
 Undergraduate diploma,374,23,397
 Graduate,10019,288,10307
 Postgraduate diploma,235,4,239
 Master degree,156,1,157
 PhD,27,-,27
 Other,374,151,525
 Total,137172,15545,152717
NotApp :,14731,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4864,-,4864
 Grade 1,2339,-,2339
 Grade 2,2876,-,2876
 Grade 3,4041,-,4041
 Grade 4,5833,-,5833
 Grade 5,10414,-,10414
 Grade 6,6885,-,6885
 Grade 7,5892,-,5892
 Grade 8,7955,-,7955
 Grade 9,10554,-,10554
 Grade 10,12788,-,12788
 Grade 11,17220,-,17220
 College,7321,-,7321
 Vocational training,411,-,411
 Undergraduate diploma,711,-,711
 Graduate,22682,-,22682
 Postgraduate diploma,642,-,642
 Master degree,647,-,647
 PhD,140,-,140
 Other,144,-,144
 Total,124359,-,124359
NotApp :,8135,*,*
AREA # 120301,Thanlyin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4164,13748,17912
 Grade 1,2536,8664,11200
 Grade 2,3308,10721,14029
 Grade 3,3750,13525,17275
 Grade 4,8664,29828,38492
 Grade 5,7491,20146,27637
 Grade 6,4629,10040,14669
 Grade 7,4786,9872,14658
 Grade 8,6486,11128,17614
 Grade 9,6439,11239,17678
 Grade 10,9401,11994,21395
 Grade 11,3901,2716,6617
 College,3490,3721,7211
 Vocational training,214,185,399
 Undergraduate diploma,454,701,1155
 Graduate,10080,6792,16872
 Postgraduate diploma,260,138,398
 Master degree,194,152,346
 PhD,54,41,95
 Other,151,787,938
 Total,80452,166138,246590
NotApp :,21473,*,*
AREA # 120302,Kyauktan,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2704,8471,11175
 Grade 1,1119,2845,3964
 Grade 2,1726,4075,5801
 Grade 3,2275,6690,8965
 Grade 4,4742,12157,16899
 Grade 5,7026,23602,30628
 Grade 6,2413,4657,7070
 Grade 7,2129,3711,5840
 Grade 8,2542,3779,6321
 Grade 9,2626,3428,6054
 Grade 10,3606,4121,7727
 Grade 11,1754,1240,2994
 College,1417,1335,2752
 Vocational training,90,43,133
 Undergraduate diploma,74,121,195
 Graduate,3395,2202,5597
 Postgraduate diploma,80,51,131
 Master degree,53,9,62
 PhD,13,9,22
 Other,69,219,288
 Total,39853,82765,122618
NotApp :,10147,*,*
AREA # 120303,Thongwa,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3305,18475,21780
 Grade 1,747,4339,5086
 Grade 2,1419,6556,7975
 Grade 3,1878,10382,12260
 Grade 4,3243,19081,22324
 Grade 5,2849,22553,25402
 Grade 6,1347,6963,8310
 Grade 7,1396,5770,7166
 Grade 8,1597,6001,7598
 Grade 9,1370,4735,6105
 Grade 10,2296,4838,7134
 Grade 11,860,1095,1955
 College,690,1336,2026
 Vocational training,83,41,124
 Undergraduate diploma,68,104,172
 Graduate,2527,2025,4552
 Postgraduate diploma,39,61,100
 Master degree,25,18,43
 PhD,12,2,14
 Other,160,4626,4786
 Total,25911,119001,144912
NotApp :,12964,*,*
AREA # 120304,Khayan,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,3114,14696,17810
 Grade 1,1088,4107,5195
 Grade 2,1672,6488,8160
 Grade 3,2206,9897,12103
 Grade 4,5488,22575,28063
 Grade 5,2801,19848,22649
 Grade 6,1444,6356,7800
 Grade 7,1694,6051,7745
 Grade 8,2001,5611,7612
 Grade 9,1448,4974,6422
 Grade 10,3218,5314,8532
 Grade 11,434,827,1261
 College,880,1471,2351
 Vocational training,44,46,90
 Undergraduate diploma,75,145,220
 Graduate,2501,2193,4694
 Postgraduate diploma,43,51,94
 Master degree,19,23,42
 PhD,6,2,8
 Other,165,3571,3736
 Total,30341,114246,144587
NotApp :,13432,*,*
AREA # 120305,Twantay,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2065,18473,20538
 Grade 1,1967,9217,11184
 Grade 2,2618,12724,15342
 Grade 3,3184,17639,20823
 Grade 4,5278,23401,28679
 Grade 5,4698,34653,39351
 Grade 6,2176,9678,11854
 Grade 7,2077,7691,9768
 Grade 8,2792,7630,10422
 Grade 9,2074,7245,9319
 Grade 10,4951,8687,13638
 Grade 11,1546,3820,5366
 College,1072,1993,3065
 Vocational training,35,155,190
 Undergraduate diploma,203,192,395
 Graduate,2879,2874,5753
 Postgraduate diploma,48,175,223
 Master degree,17,45,62
 PhD,3,5,8
 Other,8,403,411
 Total,39691,166700,206391
NotApp :,20445,*,*
AREA # 120306,Kawhmu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,656,11991,12647
 Grade 1,283,4317,4600
 Grade 2,424,6880,7304
 Grade 3,552,10040,10592
 Grade 4,1056,17406,18462
 Grade 5,1113,19600,20713
 Grade 6,452,5564,6016
 Grade 7,417,4721,5138
 Grade 8,479,4660,5139
 Grade 9,367,3657,4024
 Grade 10,890,6103,6993
 Grade 11,121,1275,1396
 College,363,1509,1872
 Vocational training,28,210,238
 Undergraduate diploma,12,219,231
 Graduate,768,2398,3166
 Postgraduate diploma,5,51,56
 Master degree,7,23,30
 PhD,-,5,5
 Other,3,360,363
 Total,7996,100989,108985
NotApp :,10065,*,*
AREA # 120307,Kungyangon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,554,4687,5241
 Grade 1,673,4570,5243
 Grade 2,853,6369,7222
 Grade 3,961,8411,9372
 Grade 4,2390,14882,17272
 Grade 5,2084,20378,22462
 Grade 6,923,4899,5822
 Grade 7,907,3989,4896
 Grade 8,1016,3799,4815
 Grade 9,846,3219,4065
 Grade 10,1740,3878,5618
 Grade 11,299,1091,1390
 College,491,1285,1776
 Vocational training,25,91,116
 Undergraduate diploma,86,244,330
 Graduate,1482,1932,3414
 Postgraduate diploma,30,64,94
 Master degree,11,17,28
 PhD,5,2,7
 Other,109,3002,3111
 Total,15485,86809,102294
NotApp :,9338,*,*
AREA # 120308,Dala,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,11870,6882,18752
 Grade 1,4903,3223,8126
 Grade 2,6740,4260,11000
 Grade 3,7725,5513,13238
 Grade 4,15087,10806,25893
 Grade 5,11160,4558,15718
 Grade 6,6678,2379,9057
 Grade 7,6607,2290,8897
 Grade 8,7686,2172,9858
 Grade 9,6902,2690,9592
 Grade 10,12611,1532,14143
 Grade 11,2185,384,2569
 College,2562,719,3281
 Vocational training,72,19,91
 Undergraduate diploma,150,61,211
 Graduate,4701,1101,5802
 Postgraduate diploma,106,22,128
 Master degree,64,14,78
 PhD,14,-,14
 Other,437,200,637
 Total,108260,48825,157085
NotApp :,15772,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2090,-,2090
 Grade 1,1367,-,1367
 Grade 2,1990,-,1990
 Grade 3,2473,-,2473
 Grade 4,4163,-,4163
 Grade 5,3865,-,3865
 Grade 6,2198,-,2198
 Grade 7,2106,-,2106
 Grade 8,2369,-,2369
 Grade 9,1933,-,1933
 Grade 10,3009,-,3009
 Grade 11,935,-,935
 College,710,-,710
 Vocational training,9,-,9
 Undergraduate diploma,30,-,30
 Graduate,1059,-,1059
 Postgraduate diploma,56,-,56
 Master degree,20,-,20
 PhD,4,-,4
 Other,421,-,421
 Total,30807,-,30807
NotApp :,3196,*,*
AREA # 120310,Cocogyun,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,160,-,160
 Grade 1,43,-,43
 Grade 2,68,-,68
 Grade 3,91,-,91
 Grade 4,164,-,164
 Grade 5,281,-,281
 Grade 6,139,-,139
 Grade 7,116,-,116
 Grade 8,147,-,147
 Grade 9,156,-,156
 Grade 10,111,-,111
 Grade 11,149,-,149
 College,58,-,58
 Vocational training,8,-,8
 Undergraduate diploma,9,-,9
 Graduate,99,-,99
 Master degree,5,-,5
 Total,1804,-,1804
NotApp :,136,*,*
AREA # 120351,Tada(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,663,3321,3984
 Grade 1,233,1045,1278
 Grade 2,448,1369,1817
 Grade 3,693,2144,2837
 Grade 4,1196,3209,4405
 Grade 5,1737,6463,8200
 Grade 6,556,1415,1971
 Grade 7,445,1028,1473
 Grade 8,423,1048,1471
 Grade 9,333,954,1287
 Grade 10,533,737,1270
 Grade 11,184,246,430
 College,199,254,453
 Vocational training,21,36,57
 Undergraduate diploma,10,17,27
 Graduate,380,361,741
 Postgraduate diploma,4,7,11
 Master degree,11,1,12
 PhD,1,-,1
 Other,166,236,402
 Total,8236,23891,32127
NotApp :,2556,*,*
AREA # 120401,Kyauktada,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,946,-,946
 Grade 1,442,-,442
 Grade 2,498,-,498
 Grade 3,705,-,705
 Grade 4,1229,-,1229
 Grade 5,1468,-,1468
 Grade 6,1003,-,1003
 Grade 7,1022,-,1022
 Grade 8,1593,-,1593
 Grade 9,2072,-,2072
 Grade 10,3858,-,3858
 Grade 11,2366,-,2366
 College,2094,-,2094
 Vocational training,104,-,104
 Undergraduate diploma,132,-,132
 Graduate,8274,-,8274
 Postgraduate diploma,249,-,249
 Master degree,349,-,349
 PhD,64,-,64
 Other,88,-,88
 Total,28556,-,28556
NotApp :,1297,*,*
AREA # 120402,Pabedan,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1345,-,1345
 Grade 1,613,-,613
 Grade 2,795,-,795
 Grade 3,989,-,989
 Grade 4,1776,-,1776
 Grade 5,2207,-,2207
 Grade 6,1431,-,1431
 Grade 7,1534,-,1534
 Grade 8,2115,-,2115
 Grade 9,2619,-,2619
 Grade 10,3890,-,3890
 Grade 11,2964,-,2964
 College,1904,-,1904
 Vocational training,69,-,69
 Undergraduate diploma,154,-,154
 Graduate,6746,-,6746
 Postgraduate diploma,142,-,142
 Master degree,204,-,204
 PhD,49,-,49
 Other,111,-,111
 Total,31657,-,31657
NotApp :,1679,*,*
AREA # 120403,Lanmadaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1234,-,1234
 Grade 1,478,-,478
 Grade 2,814,-,814
 Grade 3,940,-,940
 Grade 4,2391,-,2391
 Grade 5,2456,-,2456
 Grade 6,1424,-,1424
 Grade 7,1659,-,1659
 Grade 8,2455,-,2455
 Grade 9,2919,-,2919
 Grade 10,6132,-,6132
 Grade 11,2617,-,2617
 College,3876,-,3876
 Vocational training,160,-,160
 Undergraduate diploma,350,-,350
 Graduate,14827,-,14827
 Postgraduate diploma,334,-,334
 Master degree,372,-,372
 PhD,113,-,113
 Other,168,-,168
 Total,45719,-,45719
NotApp :,1441,*,*
AREA # 120404,Latha,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,862,-,862
 Grade 1,344,-,344
 Grade 2,463,-,463
 Grade 3,719,-,719
 Grade 4,1423,-,1423
 Grade 5,1376,-,1376
 Grade 6,853,-,853
 Grade 7,977,-,977
 Grade 8,1576,-,1576
 Grade 9,1662,-,1662
 Grade 10,3332,-,3332
 Grade 11,1267,-,1267
 College,1956,-,1956
 Vocational training,46,-,46
 Undergraduate diploma,63,-,63
 Graduate,7138,-,7138
 Postgraduate diploma,103,-,103
 Master degree,131,-,131
 PhD,34,-,34
 Other,67,-,67
 Total,24392,-,24392
NotApp :,665,*,*
AREA # 120405,Ahlon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1509,-,1509
 Grade 1,764,-,764
 Grade 2,1024,-,1024
 Grade 3,1407,-,1407
 Grade 4,2546,-,2546
 Grade 5,4356,-,4356
 Grade 6,2385,-,2385
 Grade 7,2088,-,2088
 Grade 8,2883,-,2883
 Grade 9,3692,-,3692
 Grade 10,4479,-,4479
 Grade 11,7469,-,7469
 College,3679,-,3679
 Vocational training,189,-,189
 Undergraduate diploma,346,-,346
 Graduate,12966,-,12966
 Postgraduate diploma,470,-,470
 Master degree,473,-,473
 PhD,105,-,105
 Other,184,-,184
 Total,53014,-,53014
NotApp :,2468,*,*
AREA # 120406,Kyimyindine,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,5909,-,5909
 Grade 1,3146,-,3146
 Grade 2,3842,-,3842
 Grade 3,4808,-,4808
 Grade 4,8742,-,8742
 Grade 5,10571,-,10571
 Grade 6,5560,-,5560
 Grade 7,4988,-,4988
 Grade 8,6644,-,6644
 Grade 9,6283,-,6283
 Grade 10,11723,-,11723
 Grade 11,7104,-,7104
 College,5112,-,5112
 Vocational training,214,-,214
 Undergraduate diploma,427,-,427
 Graduate,16967,-,16967
 Postgraduate diploma,577,-,577
 Master degree,536,-,536
 PhD,129,-,129
 Other,542,-,542
 Total,103824,-,103824
NotApp :,7690,*,*
AREA # 120407,Sangyoung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2294,-,2294
 Grade 1,1507,-,1507
 Grade 2,1636,-,1636
 Grade 3,2238,-,2238
 Grade 4,4367,-,4367
 Grade 5,5975,-,5975
 Grade 6,3353,-,3353
 Grade 7,3350,-,3350
 Grade 8,5082,-,5082
 Grade 9,5931,-,5931
 Grade 10,11458,-,11458
 Grade 11,8948,-,8948
 College,7295,-,7295
 Vocational training,294,-,294
 Undergraduate diploma,871,-,871
 Graduate,28528,-,28528
 Postgraduate diploma,958,-,958
 Master degree,1233,-,1233
 PhD,284,-,284
 Other,122,-,122
 Total,95724,-,95724
NotApp :,3895,*,*
AREA # 120408,Hline,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4663,-,4663
 Grade 1,2515,-,2515
 Grade 2,3097,-,3097
 Grade 3,4517,-,4517
 Grade 4,8041,-,8041
 Grade 5,12638,-,12638
 Grade 6,7802,-,7802
 Grade 7,6894,-,6894
 Grade 8,9259,-,9259
 Grade 9,11729,-,11729
 Grade 10,14698,-,14698
 Grade 11,18631,-,18631
 College,9660,-,9660
 Vocational training,504,-,504
 Undergraduate diploma,1262,-,1262
 Graduate,33408,-,33408
 Postgraduate diploma,1158,-,1158
 Master degree,1462,-,1462
 PhD,374,-,374
 Other,211,-,211
 Total,152523,-,152523
NotApp :,7784,*,*
AREA # 120409,Kamayut,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1726,-,1726
 Grade 1,879,-,879
 Grade 2,1136,-,1136
 Grade 3,1645,-,1645
 Grade 4,2558,-,2558
 Grade 5,5385,-,5385
 Grade 6,3274,-,3274
 Grade 7,2495,-,2495
