Highest_grade,Sex_Male,Sex_Female,Sex_Total
AREA # 110402,Mannaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1439,2922,4361
 Grade 1,655,751,1406
 Grade 2,1209,2051,3260
 Grade 3,2110,3379,5489
 Grade 4,3919,5201,9120
 Grade 5,4713,5731,10444
 Grade 6,1660,1747,3407
 Grade 7,1365,1330,2695
 Grade 8,1420,1359,2779
 Grade 9,1443,1455,2898
 Grade 10,959,1140,2099
 Grade 11,1200,1531,2731
 College,333,416,749
 Vocational training,29,65,94
 Undergraduate diploma,73,55,128
 Graduate,540,979,1519
 Postgraduate diploma,8,22,30
 Master degree,8,7,15
 PhD,1,1,2
 Other,11,8,19
 Total,23095,30150,53245
NotApp :,3721,*,*
AREA # 110403,Yanbye,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3706,8058,11764
 Grade 1,1551,1792,3343
 Grade 2,2096,3513,5609
 Grade 3,3539,6072,9611
 Grade 4,5593,7136,12729
 Grade 5,7711,8070,15781
 Grade 6,3095,2883,5978
 Grade 7,2628,2228,4856
 Grade 8,2568,2008,4576
 Grade 9,2685,2028,4713
 Grade 10,1601,1285,2886
 Grade 11,2272,2114,4386
 College,610,551,1161
 Vocational training,105,61,166
 Undergraduate diploma,165,157,322
 Graduate,872,1153,2025
 Postgraduate diploma,26,44,70
 Master degree,4,17,21
 PhD,3,3,6
 Other,59,51,110
 Total,40889,49224,90113
NotApp :,7778,*,*
AREA # 110404,An,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8184,14927,23111
 Grade 1,2520,2676,5196
 Grade 2,3444,4157,7601
 Grade 3,5040,5771,10811
 Grade 4,6860,6278,13138
 Grade 5,9361,7898,17259
 Grade 6,3292,2706,5998
 Grade 7,2461,1841,4302
 Grade 8,2378,1616,3994
 Grade 9,2517,1730,4247
 Grade 10,1643,1274,2917
 Grade 11,2432,1811,4243
 College,778,688,1466
 Vocational training,106,56,162
 Undergraduate diploma,130,104,234
 Graduate,1158,1033,2191
 Postgraduate diploma,35,25,60
 Master degree,44,18,62
 PhD,5,4,9
 Other,150,67,217
 Total,52538,54680,107218
NotApp :,12496,*,*
AREA # 110501,Thandwe,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4404,6390,10794
 Grade 1,1637,1754,3391
 Grade 2,2159,2823,4982
 Grade 3,3841,4939,8780
 Grade 4,6251,7514,13765
 Grade 5,12918,13732,26650
 Grade 6,4579,4199,8778
 Grade 7,3691,3245,6936
 Grade 8,4028,3141,7169
 Grade 9,4585,3519,8104
 Grade 10,3182,2734,5916
 Grade 11,4851,4742,9593
 College,1295,1175,2470
 Vocational training,147,72,219
 Undergraduate diploma,330,226,556
 Graduate,2222,3151,5373
 Postgraduate diploma,53,98,151
 Master degree,48,83,131
 PhD,11,9,20
 Other,127,79,206
 Total,60359,63625,123984
NotApp :,9500,*,*
AREA # 110502,Toungup,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4771,6933,11704
 Grade 1,1918,2142,4060
 Grade 2,2491,3292,5783
 Grade 3,3876,5243,9119
 Grade 4,5903,7122,13025
 Grade 5,9339,9527,18866
 Grade 6,3987,3485,7472
 Grade 7,3133,2571,5704
 Grade 8,3187,2403,5590
 Grade 9,3237,2409,5646
 Grade 10,2537,2237,4774
 Grade 11,3563,3321,6884
 College,895,936,1831
 Vocational training,55,41,96
 Undergraduate diploma,164,142,306
 Graduate,1574,2127,3701
 Postgraduate diploma,24,66,90
 Master degree,29,29,58
 PhD,6,12,18
 Other,122,37,159
 Total,50811,54075,104886
NotApp :,9551,*,*
AREA # 110503,Gwa,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1158,1538,2696
 Grade 1,572,583,1155
 Grade 2,780,876,1656
 Grade 3,1254,1531,2785
 Grade 4,1901,2192,4093
 Grade 5,4526,4538,9064
 Grade 6,1593,1496,3089
 Grade 7,1411,1158,2569
 Grade 8,1324,1147,2471
 Grade 9,1441,1214,2655
 Grade 10,913,797,1710
 Grade 11,1412,1400,2812
 College,240,276,516
 Vocational training,23,12,35
 Undergraduate diploma,76,58,134
 Graduate,516,685,1201
 Postgraduate diploma,10,18,28
 Master degree,8,9,17
 PhD,-,1,1
 Other,400,211,611
 Total,19558,19740,39298
NotApp :,3136,*,*
AREA # 110551,Maei(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2012,3800,5812
 Grade 1,1005,1077,2082
 Grade 2,1295,1698,2993
 Grade 3,1866,2370,4236
 Grade 4,2594,2759,5353
 Grade 5,4148,3392,7540
 Grade 6,1474,1285,2759
 Grade 7,1081,748,1829
 Grade 8,956,735,1691
 Grade 9,1077,733,1810
 Grade 10,602,436,1038
 Grade 11,842,759,1601
 College,169,145,314
 Vocational training,12,6,18
 Undergraduate diploma,27,16,43
 Graduate,227,259,486
 Postgraduate diploma,5,2,7
 Master degree,-,3,3
 PhD,-,2,2
 Other,115,43,158
 Total,19507,20268,39775
NotApp :,4129,*,*
AREA # 110552,Kyeintali(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,629,787,1416
 Grade 1,277,344,621
 Grade 2,393,525,918
 Grade 3,666,848,1514
 Grade 4,1256,1503,2759
 Grade 5,2231,2479,4710
 Grade 6,851,827,1678
 Grade 7,756,572,1328
 Grade 8,804,671,1475
 Grade 9,879,768,1647
 Grade 10,706,687,1393
 Grade 11,749,795,1544
 College,135,130,265
 Vocational training,12,9,21
 Undergraduate diploma,49,43,92
 Graduate,293,397,690
 Postgraduate diploma,1,15,16
 Master degree,-,2,2
 PhD,-,1,1
 Other,3,5,8
 Total,10690,11408,22098
NotApp :,1483,*,*
AREA # 120101,Insein,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4818,7285,12103
 Grade 1,2845,3066,5911
 Grade 2,3513,4240,7753
 Grade 3,4785,6265,11050
 Grade 4,7753,10424,18177
 Grade 5,13671,18063,31734
 Grade 6,8388,9425,17813
 Grade 7,7601,7344,14945
 Grade 8,10603,9654,20257
 Grade 9,13002,11187,24189
 Grade 10,16592,14397,30989
 Grade 11,17276,15875,33151
 College,7525,6353,13878
 Vocational training,870,247,1117
 Undergraduate diploma,1075,381,1456
 Graduate,14369,22683,37052
 Postgraduate diploma,454,792,1246
 Master degree,385,770,1155
 PhD,106,194,300
 Other,833,892,1725
 Total,136464,149537,286001
NotApp :,19282,*,*
AREA # 120102,Mingaladon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5142,7731,12873
 Grade 1,3131,3473,6604
 Grade 2,4028,5111,9139
 Grade 3,5482,7431,12913
 Grade 4,8823,12128,20951
 Grade 5,16775,22392,39167
 Grade 6,9910,11972,21882
 Grade 7,8353,9104,17457
 Grade 8,11048,10622,21670
 Grade 9,14656,13734,28390
 Grade 10,15699,13281,28980
 Grade 11,20080,18718,38798
 College,7646,5843,13489
 Vocational training,363,154,517
 Undergraduate diploma,814,338,1152
 Graduate,12854,18347,31201
 Postgraduate diploma,615,373,988
 Master degree,410,410,820
 PhD,88,97,185
 Other,599,731,1330
 Total,146516,161990,308506
NotApp :,23080,*,*
AREA # 120103,Hmawby,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5919,9186,15105
 Grade 1,3542,3767,7309
 Grade 2,4580,5545,10125
 Grade 3,7031,8662,15693
 Grade 4,9620,11256,20876
 Grade 5,18488,20369,38857
 Grade 6,7848,7866,15714
 Grade 7,6625,5800,12425
 Grade 8,7470,5975,13445
 Grade 9,8930,6804,15734
 Grade 10,9015,7424,16439
 Grade 11,10364,8928,19292
 College,3189,2710,5899
 Vocational training,258,74,332
 Undergraduate diploma,463,172,635
 Graduate,5526,7637,13163
 Postgraduate diploma,169,260,429
 Master degree,143,216,359
 PhD,21,29,50
 Other,1343,1085,2428
 Total,110544,113765,224309
NotApp :,20298,*,*
AREA # 120104,Hlegu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8413,11906,20319
 Grade 1,4269,4180,8449
 Grade 2,5330,6191,11521
 Grade 3,8164,10464,18628
 Grade 4,10716,12745,23461
 Grade 5,22345,24286,46631
 Grade 6,9157,8730,17887
 Grade 7,7232,6160,13392
 Grade 8,7920,6129,14049
 Grade 9,8753,6627,15380
 Grade 10,6817,5192,12009
 Grade 11,10894,9340,20234
 College,3445,2965,6410
 Vocational training,233,134,367
 Undergraduate diploma,406,237,643
 Graduate,4663,6906,11569
 Postgraduate diploma,136,256,392
 Master degree,147,151,298
 PhD,20,21,41
 Other,2950,2111,5061
 Total,122010,124731,246741
NotApp :,24000,*,*
AREA # 120105,Taikkyi,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,11108,15983,27091
 Grade 1,5214,5703,10917
 Grade 2,6564,8269,14833
 Grade 3,10028,12743,22771
 Grade 4,14101,16889,30990
 Grade 5,23267,25664,48931
 Grade 6,8215,7697,15912
 Grade 7,7097,5889,12986
 Grade 8,7205,5295,12500
 Grade 9,7460,5465,12925
 Grade 10,6183,4946,11129
 Grade 11,7165,6237,13402
 College,2408,2038,4446
 Vocational training,124,75,199
 Undergraduate diploma,230,189,419
 Graduate,3314,5101,8415
 Postgraduate diploma,88,161,249
 Master degree,48,54,102
 PhD,3,9,12
 Other,2388,2107,4495
 Total,122210,130514,252724
NotApp :,24544,*,*
AREA # 120106,Htantabin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6034,7548,13582
 Grade 1,2673,3153,5826
 Grade 2,3999,4982,8981
 Grade 3,5403,6518,11921
 Grade 4,10675,12354,23029
 Grade 5,11165,11684,22849
 Grade 6,4266,3758,8024
 Grade 7,3891,3121,7012
 Grade 8,3922,2983,6905
 Grade 9,3352,2460,5812
 Grade 10,4175,3484,7659
 Grade 11,1009,717,1726
 College,922,872,1794
 Vocational training,48,48,96
 Undergraduate diploma,89,74,163
 Graduate,1134,1666,2800
 Postgraduate diploma,49,139,188
 Master degree,11,29,40
 PhD,5,1,6
 Other,2074,1627,3701
 Total,64896,67218,132114
NotApp :,13678,*,*
AREA # 120107,Shwepyitha,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6850,10590,17440
 Grade 1,3926,4147,8073
 Grade 2,4717,5688,10405
 Grade 3,6796,9103,15899
 Grade 4,10317,13833,24150
 Grade 5,19999,26390,46389
 Grade 6,11984,13646,25630
 Grade 7,9842,9670,19512
 Grade 8,12107,11024,23131
 Grade 9,15106,13148,28254
 Grade 10,14383,12087,26470
 Grade 11,19213,17341,36554
 College,5464,4819,10283
 Vocational training,335,139,474
 Undergraduate diploma,526,269,795
 Graduate,8181,12690,20871
 Postgraduate diploma,167,286,453
 Master degree,79,208,287
 PhD,30,42,72
 Other,827,704,1531
 Total,150849,165824,316673
NotApp :,26853,*,*
AREA # 120108,Hlinethaya,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,14861,22347,37208
 Grade 1,8206,8581,16787
 Grade 2,9496,12276,21772
 Grade 3,14173,19364,33537
 Grade 4,24841,33692,58533
 Grade 5,44224,57988,102212
 Grade 6,24553,28981,53534
 Grade 7,20241,21219,41460
 Grade 8,24748,23761,48509
 Grade 9,27814,26135,53949
 Grade 10,29111,26634,55745
 Grade 11,26608,24373,50981
 College,9205,9364,18569
 Vocational training,359,179,538
 Undergraduate diploma,842,497,1339
 Graduate,13653,20339,33992
 Postgraduate diploma,214,359,573
 Master degree,129,297,426
 PhD,43,50,93
 Other,1782,1599,3381
 Total,295103,338035,633138
NotApp :,54729,*,*
AREA # 120201,Thingangyun,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3182,5626,8808
 Grade 1,1393,1526,2919
 Grade 2,2067,2451,4518
 Grade 3,3052,4083,7135
 Grade 4,4164,5476,9640
 Grade 5,9184,12287,21471
 Grade 6,5356,6329,11685
 Grade 7,4655,4827,9482
 Grade 8,5986,5807,11793
 Grade 9,8855,7781,16636
 Grade 10,7549,6232,13781
 Grade 11,16446,15411,31857
 College,5729,5089,10818
 Vocational training,434,149,583
 Undergraduate diploma,964,535,1499
 Graduate,12634,19615,32249
 Postgraduate diploma,327,571,898
 Master degree,290,741,1031
 PhD,62,165,227
 Other,190,155,345
 Total,92519,104856,197375
NotApp :,12111,*,*
AREA # 120202,Yankin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,861,1686,2547
 Grade 1,436,560,996
 Grade 2,605,761,1366
 Grade 3,810,1170,1980
 Grade 4,1111,1722,2833
 Grade 5,2190,3460,5650
 Grade 6,1452,1868,3320
 Grade 7,1277,1435,2712
 Grade 8,1716,1781,3497
 Grade 9,2663,2310,4973
 Grade 10,3136,2998,6134
 Grade 11,4756,4394,9150
 College,2279,1861,4140
 Vocational training,137,49,186
 Undergraduate diploma,340,138,478
 Graduate,6356,9118,15474
 Postgraduate diploma,213,337,550
 Master degree,257,516,773
 PhD,82,138,220
 Other,236,157,393
 Total,30913,36459,67372
NotApp :,3574,*,*
AREA # 120203,South Okkalapa,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1470,2774,4244
 Grade 1,1017,1158,2175
 Grade 2,1325,1672,2997
 Grade 3,1880,2661,4541
 Grade 4,2828,4253,7081
 Grade 5,6548,9554,16102
 Grade 6,3905,4787,8692
 Grade 7,3456,3749,7205
 Grade 8,4733,4589,9322
 Grade 9,7014,6246,13260
 Grade 10,6529,5496,12025
 Grade 11,13386,12102,25488
 College,5333,4081,9414
 Vocational training,361,94,455
 Undergraduate diploma,595,231,826
 Graduate,10374,16654,27028
 Postgraduate diploma,301,464,765
 Master degree,221,657,878
 PhD,66,155,221
 Other,161,182,343
 Total,71503,81559,153062
NotApp :,8064,*,*
AREA # 120204,North Okkalapa,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5131,7782,12913
 Grade 1,2668,2836,5504
 Grade 2,3244,4079,7323
 Grade 3,4749,6420,11169
 Grade 4,7391,11132,18523
 Grade 5,14769,21633,36402
 Grade 6,9235,11659,20894
 Grade 7,8308,8847,17155
 Grade 8,11487,10833,22320
 Grade 9,15410,13711,29121
 Grade 10,15619,13410,29029
 Grade 11,23748,21661,45409
 College,8288,7414,15702
 Vocational training,459,197,656
 Undergraduate diploma,671,311,982
 Graduate,14083,23319,37402
 Postgraduate diploma,248,573,821
 Master degree,162,556,718
 PhD,57,132,189
 Other,277,301,578
 Total,146004,166806,312810
NotApp :,20483,*,*
AREA # 120205,Thakayta,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3459,5813,9272
 Grade 1,1728,1827,3555
 Grade 2,2293,2793,5086
 Grade 3,3091,4397,7488
 Grade 4,5087,7063,12150
 Grade 5,9780,12595,22375
 Grade 6,6218,6989,13207
 Grade 7,5798,5553,11351
 Grade 8,7817,6675,14492
 Grade 9,10968,8652,19620
 Grade 10,10498,8356,18854
 Grade 11,16580,13632,30212
 College,6157,4853,11010
 Vocational training,404,104,508
 Undergraduate diploma,566,182,748
 Graduate,9598,16433,26031
 Postgraduate diploma,234,366,600
 Master degree,120,388,508
 PhD,32,79,111
 Other,279,245,524
 Total,100707,106995,207702
NotApp :,12854,*,*
AREA # 120206,Dawbon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1913,2936,4849
 Grade 1,1044,1309,2353
 Grade 2,1484,1945,3429
 Grade 3,1779,2270,4049
 Grade 4,3711,4993,8704
 Grade 5,3082,3106,6188
 Grade 6,1996,1906,3902
 Grade 7,2404,2033,4437
 Grade 8,3456,2773,6229
 Grade 9,2979,2326,5305
 Grade 10,4958,4109,9067
 Grade 11,1151,674,1825
 College,1393,1200,2593
 Vocational training,72,36,108
 Undergraduate diploma,211,82,293
 Graduate,2224,3942,6166
 Postgraduate diploma,86,105,191
 Master degree,30,83,113
 PhD,5,11,16
 Other,25,50,75
 Total,34003,35889,69892
NotApp :,5433,*,*
AREA # 120207,Tamway,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2394,3716,6110
 Grade 1,1314,1583,2897
 Grade 2,1454,2209,3663
 Grade 3,1877,2767,4644
 Grade 4,3977,6719,10696
 Grade 5,3767,4679,8446
 Grade 6,2711,3217,5928
 Grade 7,3651,4146,7797
 Grade 8,5251,5946,11197
 Grade 9,7081,7009,14090
 Grade 10,10407,10941,21348
 Grade 11,3529,2609,6138
 College,5431,4563,9994
 Vocational training,386,187,573
 Undergraduate diploma,741,260,1001
 Graduate,15092,24221,39313
 Postgraduate diploma,517,618,1135
 Master degree,319,867,1186
 PhD,73,174,247
 Other,414,186,600
 Total,70386,86617,157003
NotApp :,8310,*,*
AREA # 120208,Pazuntaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,642,1105,1747
 Grade 1,432,481,913
 Grade 2,395,581,976
 Grade 3,491,736,1227
 Grade 4,1007,1658,2665
 Grade 5,1238,1400,2638
 Grade 6,838,891,1729
 Grade 7,943,1063,2006
 Grade 8,1362,1428,2790
 Grade 9,1597,1407,3004
 Grade 10,2788,2751,5539
 Grade 11,1954,1723,3677
 College,1779,1430,3209
 Vocational training,103,46,149
 Undergraduate diploma,231,95,326
 Graduate,4814,7716,12530
 Postgraduate diploma,223,243,466
 Master degree,109,301,410
 PhD,30,75,105
 Other,80,69,149
 Total,21056,25199,46255
NotApp :,2200,*,*
AREA # 120209,Botahtaung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,484,826,1310
 Grade 1,232,280,512
 Grade 2,289,363,652
 Grade 3,389,564,953
 Grade 4,544,817,1361
 Grade 5,1126,1758,2884
 Grade 6,847,918,1765
 Grade 7,765,689,1454
 Grade 8,1030,892,1922
 Grade 9,1491,1378,2869
 Grade 10,1448,1143,2591
 Grade 11,3478,3152,6630
 College,1583,1299,2882
 Vocational training,86,43,129
 Undergraduate diploma,327,95,422
 Graduate,3862,5801,9663
 Postgraduate diploma,205,184,389
 Master degree,116,238,354
 PhD,19,45,64
 Other,77,69,146
 Total,18398,20554,38952
NotApp :,2043,*,*
AREA # 120210,Dagon Myothit(South),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8637,13845,22482
 Grade 1,4056,4319,8375
 Grade 2,5170,6316,11486
 Grade 3,7587,9841,17428
 Grade 4,11254,14346,25600
 Grade 5,21393,26258,47651
 Grade 6,12763,13988,26751
 Grade 7,10820,10246,21066
 Grade 8,12958,11030,23988
 Grade 9,16140,12944,29084
 Grade 10,13995,11296,25291
 Grade 11,23860,20234,44094
 College,6406,5661,12067
 Vocational training,520,242,762
 Undergraduate diploma,571,322,893
 Graduate,9416,14547,23963
 Postgraduate diploma,241,397,638
 Master degree,101,274,375
 PhD,30,41,71
 Other,289,197,486
 Total,166207,176344,342551
NotApp :,29095,*,*
AREA # 120211,Dagon Myothit(North),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2664,4005,6669
 Grade 1,1645,1778,3423
 Grade 2,1977,2240,4217
 Grade 3,2653,3590,6243
 Grade 4,3731,5353,9084
 Grade 5,7912,11440,19352
 Grade 6,4491,5468,9959
 Grade 7,3967,4304,8271
 Grade 8,5331,5413,10744
 Grade 9,7667,7110,14777
 Grade 10,8786,7771,16557
 Grade 11,16089,14581,30670
 College,6370,5152,11522
 Vocational training,573,154,727
 Undergraduate diploma,1069,440,1509
 Graduate,14268,21089,35357
 Postgraduate diploma,347,518,865
 Master degree,363,831,1194
 PhD,90,187,277
 Other,294,251,545
 Total,90287,101675,191962
NotApp :,11986,*,*
AREA # 120212,Dagon Myothit(East),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5077,6164,11241
 Grade 1,1714,1867,3581
 Grade 2,2217,2694,4911
 Grade 3,3154,4059,7213
 Grade 4,4963,6492,11455
 Grade 5,9256,11362,20618
 Grade 6,4978,5394,10372
 Grade 7,4305,4080,8385
 Grade 8,5643,4857,10500
 Grade 9,6730,5674,12404
 Grade 10,7822,6552,14374
 Grade 11,9238,7850,17088
 College,3098,2652,5750
 Vocational training,200,77,277
 Undergraduate diploma,319,149,468
 Graduate,5369,8023,13392
 Postgraduate diploma,147,215,362
 Master degree,86,198,284
 PhD,24,41,65
 Other,164,135,299
 Total,74504,78535,153039
NotApp :,12589,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5290,6954,12244
 Grade 1,1980,2074,4054
 Grade 2,2606,3196,5802
 Grade 3,3848,4978,8826
 Grade 4,5850,7370,13220
 Grade 5,10275,12044,22319
 Grade 6,5748,6096,11844
 Grade 7,4668,4133,8801
 Grade 8,5458,4501,9959
 Grade 9,6470,5144,11614
 Grade 10,6240,4976,11216
 Grade 11,8627,7352,15979
 College,2710,2280,4990
 Vocational training,145,52,197
 Undergraduate diploma,263,134,397
 Graduate,4406,5901,10307
 Postgraduate diploma,94,145,239
 Master degree,52,105,157
 PhD,11,16,27
 Other,333,192,525
 Total,75074,77643,152717
NotApp :,14731,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1771,3093,4864
 Grade 1,1087,1252,2339
 Grade 2,1257,1619,2876
 Grade 3,1675,2366,4041
 Grade 4,2412,3421,5833
 Grade 5,4502,5912,10414
 Grade 6,3213,3672,6885
 Grade 7,2959,2933,5892
 Grade 8,4022,3933,7955
 Grade 9,5688,4866,10554
 Grade 10,6771,6017,12788
 Grade 11,8957,8263,17220
 College,4018,3303,7321
 Vocational training,288,123,411
 Undergraduate diploma,515,196,711
 Graduate,8659,14023,22682
 Postgraduate diploma,230,412,642
 Master degree,197,450,647
 PhD,49,91,140
 Other,75,69,144
 Total,58345,66014,124359
NotApp :,8135,*,*
AREA # 120301,Thanlyin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8095,9817,17912
 Grade 1,4975,6225,11200
 Grade 2,6046,7983,14029
 Grade 3,7544,9731,17275
 Grade 4,17035,21457,38492
 Grade 5,13096,14541,27637
 Grade 6,7430,7239,14669
 Grade 7,7804,6854,14658
 Grade 8,9732,7882,17614
 Grade 9,9925,7753,17678
 Grade 10,11564,9831,21395
 Grade 11,3904,2713,6617
 College,4132,3079,7211
 Vocational training,276,123,399
 Undergraduate diploma,831,324,1155
 Graduate,6693,10179,16872
 Postgraduate diploma,137,261,398
 Master degree,116,230,346
 PhD,25,70,95
 Other,446,492,938
 Total,119806,126784,246590
NotApp :,21473,*,*
AREA # 120302,Kyauktan,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5043,6132,11175
 Grade 1,1895,2069,3964
 Grade 2,2604,3197,5801
 Grade 3,3955,5010,8965
 Grade 4,7684,9215,16899
 Grade 5,14415,16213,30628
 Grade 6,3533,3537,7070
 Grade 7,3145,2695,5840
 Grade 8,3519,2802,6321
 Grade 9,3365,2689,6054
 Grade 10,4232,3495,7727
 Grade 11,1756,1238,2994
 College,1592,1160,2752
 Vocational training,87,46,133
 Undergraduate diploma,119,76,195
 Graduate,2065,3532,5597
 Postgraduate diploma,36,95,131
 Master degree,13,49,62
 PhD,8,14,22
 Other,160,128,288
 Total,59226,63392,122618
NotApp :,10147,*,*
AREA # 120303,Thongwa,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,10126,11654,21780
 Grade 1,2353,2733,5086
 Grade 2,3484,4491,7975
 Grade 3,5253,7007,12260
 Grade 4,9845,12479,22324
 Grade 5,11575,13827,25402
 Grade 6,4129,4181,8310
 Grade 7,3949,3217,7166
 Grade 8,4328,3270,7598
 Grade 9,3464,2641,6105
 Grade 10,4037,3097,7134
 Grade 11,1080,875,1955
 College,1093,933,2026
 Vocational training,76,48,124
 Undergraduate diploma,106,66,172
 Graduate,1663,2889,4552
 Postgraduate diploma,21,79,100
 Master degree,6,37,43
 PhD,2,12,14
 Other,2329,2457,4786
 Total,68919,75993,144912
NotApp :,12964,*,*
AREA # 120304,Khayan,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8630,9180,17810
 Grade 1,2325,2870,5195
 Grade 2,3381,4779,8160
 Grade 3,4907,7196,12103
 Grade 4,12017,16046,28063
 Grade 5,10305,12344,22649
 Grade 6,4018,3782,7800
 Grade 7,4237,3508,7745
 Grade 8,4406,3206,7612
 Grade 9,3794,2628,6422
 Grade 10,4763,3769,8532
 Grade 11,748,513,1261
 College,1232,1119,2351
 Vocational training,53,37,90
 Undergraduate diploma,139,81,220
 Graduate,1661,3033,4694
 Postgraduate diploma,31,63,94
 Master degree,6,36,42
 PhD,4,4,8
 Other,2043,1693,3736
 Total,68700,75887,144587
NotApp :,13432,*,*
AREA # 120305,Twantay,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9425,11113,20538
 Grade 1,5279,5905,11184
 Grade 2,6885,8457,15342
 Grade 3,9474,11349,20823
 Grade 4,13395,15284,28679
 Grade 5,19277,20074,39351
 Grade 6,6108,5746,11854
 Grade 7,5310,4458,9768
 Grade 8,5867,4555,10422
 Grade 9,5292,4027,9319
 Grade 10,7406,6232,13638
 Grade 11,2915,2451,5366
 College,1545,1520,3065
 Vocational training,72,118,190
 Undergraduate diploma,216,179,395
 Graduate,2142,3611,5753
 Postgraduate diploma,49,174,223
 Master degree,29,33,62
 PhD,5,3,8
