Sex,Industry_Not_stated,"Industry_Crop_and_animal_production,_hunting_and_related_service_activities",Industry_Forestry_and_logging,Industry_Fishing_and_aquaculture,Industry_Mining_of_coal_and_lignite,Industry_Extraction_of_crude_petroleum_and_natural_gas,Industry_Mining_of_metal_ores,Industry_Other_mining_and_quarrying,Industry_Mining_support_service_activities,Industry_Manufacture_of_food_products,Industry_Manufacture_of_beverages,Industry_Manufacture_of_tobacco_products,Industry_Manufacture_of_textiles,Industry_Manufacture_of_wearing_apparel,Industry_Manufacture_of_leather_and_related_products,"Industry_Manufacture_of_wood_and_of_products_of_wood_and_cork,_except_furniture;_manufacture_of_articles_of_straw_and_plaiting_materials",Industry_Manufacture_of_paper_and_paper_products,Industry_Printing_and_reproduction_of_recorded_media,Industry_Manufacture_of_coke_and_refined_petroleum_products,Industry_Manufacture_of_chemicals_and_chemical_products,Industry_Manufacture_of_basic_pharmaceutical_products_and_pharmaceutical_preparations,Industry_Manufacture_of_rubber_and_plastics_products,Industry_Manufacture_of_other_non-metallic_mineral_products,Industry_Manufacture_of_basic_metals,"Industry_Manufacture_of_fabricated_metal_products,_except_machinery_and_equipment","Industry_Manufacture_of_computer,_electronic_and_optical_products",Industry_Manufacture_of_electrical_equipment,Industry_Manufacture_of_machinery_and_equipment_n.e.c.,"Industry_Manufacture_of_motor_vehicles,_trailers_and_semi-trailers",Industry_Manufacture_of_other_transport_equipment,Industry_Manufacture_of_furniture,Industry_Other_manufacturing,Industry_Repair_and_installation_of_machinery_and_equipment,Industry_Making_jewellery,"Industry_Electricity,_gas,_steam_and_air_conditioning_supply","Industry_Water_collection,_treatment_and_supply",Industry_Sewerage,"Industry_Waste_collection,_treatment_and_disposal_activities;_materials_recovery",Industry_Remediation_activities_and_other_waste_management_services,Industry_Construction_of_buildings,Industry_Civil_engineering,Industry_Specialized_construction_activities,Industry_Wholesale_and_retail_trade_and_repair_of_motor_vehicles_and_motorcycles,"Industry_Wholesale_trade,_except_of_motor_vehicles_and_motorcycles","Industry_Retail_trade,_except_of_motor_vehicles_and_motorcycles",Industry_Land_transport_and_transport_via_pipelines,Industry_Water_transport,Industry_Air_transport,Industry_Warehousing_and_support_activities_for_transportation,Industry_Postal_and_courier_activities,Industry_Accommodation,Industry_Food_and_beverage_service_activities,Industry_Publishing_activities,"Industry_Motion_picture,_video_and_television_programme_production,_sound_recording_and_music_publishing_activities",Industry_Programming_and_broadcasting_activities,Industry_Telecommunications,"Industry_Computer_programming,_consultancy_and_related_activities",Industry_Information_service_activities,"Industry_Financial_service_activities,_except_insurance_and_pension_funding","Industry_Insurance,_reinsurance_and_pension_funding,_except_compulsory_social_security",Industry_Activities_auxiliary_to_financial_service_and_insurance_activities,Industry_Real_estate_activities,Industry_Legal_and_accounting_activities,Industry_Activities_of_head_offices;_management_consultancy_activities,Industry_Architectural_and_engineering_activities;_technical_testing_and_analysis,Industry_Scientific_research_and_development,Industry_Advertising_and_market_research,"Industry_Other_professional,_scientific_and_technical_activities",Industry_Veterinary_activities,Industry_Rental_and_leasing_activities,Industry_Employment_activities,"Industry_Travel_agency,_tour_operator,_reservation_service_and_related_activities",Industry_Security_and_investigation_activities,Industry_Services_to_buildings_and_landscape_activities,"Industry_Office_administrative,_office_support_and_other_business_support_activities",Industry_Public_administration_and_defence;_compulsory_social_security,Industry_Education,Industry_Human_health_activities,Industry_Residential_care_activities,Industry_Social_work_activities_without_accommodation,"Industry_Creative,_arts_and_entertainment_activities","Industry_Libraries,_archives,_museums_and_other_cultural_activities",Industry_Gambling_and_betting_activities,Industry_Sports_activities_and_amusement_and_recreation_activities,Industry_Activities_of_membership_organizations,Industry_Repair_of_computers_and_personal_and_household_goods,Industry_Other_personal_service_activities,Industry_Activities_of_households_as_employers_of_domestic_personnel,Industry_Undifferentiated_goods-_and_services-producing_activities_of_private_households_for_own_use,Industry_Activities_of_extraterritorial_organizations_and_bodies,Industry_Total,Township,MIMU_code
 Male,1459,40834,128,4,-,4,-,63,-,106,9,1,5,35,4,44,-,10,-,-,-,-,17,13,40,-,-,5,-,6,380,173,176,-,42,41,-,-,2,1801,11,41,354,23,1484,1297,12,-,244,-,14,645,16,3,-,39,-,-,19,-,3,1,3,-,2,1,-,24,3,6,-,8,14,-,59,1264,54,68,4,7,45,-,14,8,17,3,487,37,2,-,51738,Hsipaw,MMR015014
 Female,1225,36952,12,-,-,-,1,30,-,34,5,35,10,325,-,40,2,2,-,-,1,-,13,1,2,-,-,-,-,-,8,121,1,-,-,8,-,-,-,210,5,1,8,16,2161,26,1,-,16,-,18,1197,9,-,-,22,-,1,45,-,5,-,8,-,-,-,-,7,3,3,-,-,1,2,25,315,502,128,-,5,12,-,2,-,17,-,294,78,3,-,43974,Hsipaw,MMR015014
 Total,2684,77786,140,4,-,4,1,93,-,140,14,36,15,360,4,84,2,12,-,-,1,-,30,14,42,-,-,5,-,6,388,294,177,-,42,49,-,-,2,2011,16,42,362,39,3645,1323,13,-,260,-,32,1842,25,3,-,61,-,1,64,-,8,1,11,-,2,1,-,31,6,9,-,8,15,2,84,1579,556,196,4,12,57,-,16,8,34,3,781,115,5,-,95712,Hsipaw,MMR015014
 Male,730,9923,21,15,5,-,16,513,17,13,1,-,-,11,-,8,1,-,-,-,1,1,1,8,7,-,-,-,-,-,8,39,14,-,9,5,-,-,-,380,13,8,59,8,325,293,3,-,31,1,4,60,1,1,-,10,-,5,5,-,3,1,-,-,-,-,-,5,1,1,-,-,25,-,140,294,34,19,1,4,5,-,4,-,6,2,89,17,-,-,13225,Namtu,MMR015015
 Female,606,7730,3,10,1,-,6,362,4,6,1,-,1,75,-,5,2,1,-,-,-,1,-,1,1,-,-,-,-,-,-,15,-,-,2,1,-,-,-,34,12,7,4,3,759,7,-,-,1,-,3,176,1,-,-,3,-,2,7,-,2,-,1,-,-,-,-,3,-,1,-,-,18,1,105,204,348,100,-,2,-,-,-,1,3,-,56,14,-,-,10712,Namtu,MMR015015
 Total,1336,17653,24,25,6,-,22,875,21,19,2,-,1,86,-,13,3,1,-,-,1,2,1,9,8,-,-,-,-,-,8,54,14,-,11,6,-,-,-,414,25,15,63,11,1084,300,3,-,32,1,7,236,2,1,-,13,-,7,12,-,5,1,1,-,-,-,-,8,1,2,-,-,43,1,245,498,382,119,1,6,5,-,4,1,9,2,145,31,-,-,23937,Namtu,MMR015015
 Male,932,14981,5,-,1,-,-,7,-,71,-,-,-,1,-,2,-,-,-,-,-,-,-,2,3,-,-,-,-,-,9,6,11,-,10,-,-,-,-,247,-,-,27,2,230,157,-,-,23,-,2,127,-,1,-,2,-,-,9,-,2,-,1,-,-,-,-,3,-,-,-,-,2,-,15,155,63,11,-,-,-,-,1,-,16,-,43,1,-,-,17181,Namsan(North),MMR015016
 Female,1009,17554,-,-,-,-,1,-,-,67,-,-,-,37,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,5,-,-,1,4,267,3,-,-,-,-,2,124,1,-,-,2,-,-,9,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,7,150,354,49,-,-,-,-,-,-,7,-,25,7,1,-,19692,Namsan(North),MMR015016
 Total,1941,32535,5,-,1,-,1,7,-,138,-,-,-,38,-,3,-,-,-,-,1,-,-,2,3,-,-,-,-,-,9,8,11,-,10,-,-,-,-,252,-,-,28,6,497,160,-,-,23,-,4,251,1,1,-,4,-,-,18,-,3,-,1,-,-,-,-,3,-,-,-,-,2,1,22,305,417,60,-,-,-,-,1,-,23,-,68,8,1,-,36873,Namsan(North),MMR015016
 Male,1119,11708,161,36,1,-,-,106,-,55,15,-,-,17,1,19,1,3,-,-,1,4,-,7,32,-,-,1,-,-,24,49,58,-,16,5,-,-,-,611,16,12,120,4,404,524,6,-,38,-,3,272,6,-,-,4,-,2,11,1,1,-,1,-,-,-,-,9,2,2,-,-,3,-,16,546,47,27,4,18,3,-,1,1,4,2,258,43,1,-,16462,Momeik,MMR015017
 Female,1130,6105,21,1,-,-,-,17,1,17,11,-,1,134,2,18,-,2,-,-,-,-,-,-,1,-,-,-,-,-,3,22,2,-,3,3,-,-,-,90,4,3,5,11,881,11,-,-,1,-,3,557,2,-,-,3,-,-,11,-,-,1,-,-,-,-,-,1,-,4,-,-,-,1,3,195,485,59,2,7,-,-,3,-,2,-,127,22,1,-,9989,Momeik,MMR015017
 Total,2249,17813,182,37,1,-,-,123,1,72,26,-,1,151,3,37,1,5,-,-,1,4,-,7,33,-,-,1,-,-,27,71,60,-,19,8,-,-,-,701,20,15,125,15,1285,535,6,-,39,-,6,829,8,-,-,7,-,2,22,1,1,1,1,-,-,-,-,10,2,6,-,-,3,1,19,741,532,86,6,25,3,-,4,1,6,2,385,65,2,-,26451,Momeik,MMR015017
 Male,826,8663,390,30,-,-,-,18,-,28,-,-,-,3,-,9,-,1,-,-,-,-,-,6,21,-,-,-,1,11,14,32,45,-,10,1,-,-,-,163,2,1,105,13,765,329,46,-,24,1,3,152,-,1,-,-,1,-,5,-,-,-,-,-,-,-,1,2,1,6,-,-,2,-,2,235,49,16,1,1,2,-,1,-,-,2,321,16,-,-,12378,Mabane,MMR015018
 Female,773,3877,101,2,-,-,-,-,-,9,-,-,-,62,-,2,-,1,-,-,-,-,-,1,2,-,-,-,-,1,4,10,8,-,3,-,-,-,-,19,-,-,8,4,881,19,8,-,-,-,-,256,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,4,-,-,-,-,-,104,254,60,-,-,-,-,-,1,-,1,167,132,1,-,6777,Mabane,MMR015018
 Total,1599,12540,491,32,-,-,-,18,-,37,-,-,-,65,-,11,-,2,-,-,-,-,-,7,23,-,-,-,1,12,18,42,53,-,13,1,-,-,-,182,2,1,113,17,1646,348,54,-,24,1,3,408,1,1,-,-,1,-,5,-,1,-,-,-,-,-,1,2,1,10,-,-,2,-,2,339,303,76,1,1,2,-,1,1,-,3,488,148,1,-,19155,Mabane,MMR015018
 Male,815,8203,57,1,-,-,-,31,-,11,-,-,-,1,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,3,23,7,-,2,-,-,-,-,97,1,1,17,-,95,70,-,-,4,-,-,19,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,10,111,30,1,1,9,-,-,-,-,11,-,49,8,4,-,9699,Manton,MMR015019
 Female,1177,7648,26,-,-,-,-,6,-,25,-,-,1,26,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,20,-,1,-,1,179,-,-,-,-,-,-,74,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,42,113,18,1,5,-,-,1,-,3,-,32,7,4,-,9438,Manton,MMR015019
 Total,1992,15851,83,1,-,-,-,37,-,36,-,-,1,27,-,-,-,2,-,-,-,-,3,1,-,-,-,-,-,-,3,42,7,-,2,-,-,-,-,117,1,2,17,1,274,70,-,-,4,-,-,93,1,-,-,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,13,153,143,19,2,14,-,-,1,-,14,-,81,15,8,-,19137,Manton,MMR015019
 Male,307,3994,7,-,-,-,-,1,-,11,-,-,-,1,-,2,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3,3,4,-,1,1,-,-,-,86,2,2,12,-,71,45,-,-,2,-,-,34,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,41,12,5,-,-,1,-,-,1,-,-,4,1,-,-,4663,Minengaw(ST),MMR015012
 Female,278,3449,2,-,-,-,-,-,-,4,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,11,-,-,-,1,69,3,-,-,-,-,-,42,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,14,26,5,-,3,-,-,-,-,-,1,10,3,-,-,3939,Minengaw(ST),MMR015012
 Total,585,7443,9,-,-,-,-,1,-,15,-,-,-,15,-,2,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3,5,4,-,1,1,-,-,-,97,2,2,12,1,140,48,-,-,2,-,-,76,-,-,-,4,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,1,55,38,10,-,3,1,-,-,1,-,1,14,4,-,-,8602,Minengaw(ST),MMR015012
 Male,302,6158,36,-,-,-,-,47,-,23,-,-,-,-,-,-,-,-,-,-,2,-,-,-,5,-,-,-,-,-,2,10,5,-,-,-,-,-,-,62,4,-,7,-,46,38,-,-,4,-,-,102,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,49,6,7,-,-,-,-,-,1,-,-,42,1,-,-,6963,Minelon(ST),MMR015012
 Female,296,5406,3,-,-,-,-,3,-,25,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,7,2,-,1,1,91,-,-,-,-,-,-,209,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,67,8,-,-,-,-,-,-,-,-,53,2,-,-,6215,Minelon(ST),MMR015012
 Total,598,11564,39,-,-,-,-,50,-,48,-,-,-,28,-,-,-,-,-,-,2,-,-,-,5,-,-,-,-,-,2,11,5,-,-,-,-,-,-,69,6,-,8,1,137,38,-,-,4,-,-,311,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,60,73,15,-,-,-,-,-,1,-,-,95,3,-,-,13178,Minelon(ST),MMR015012
 Male,2025,11828,17,6,-,1,-,16,-,5,1,-,-,7,-,1,1,2,-,-,1,-,-,-,2,-,-,-,-,-,2,8,17,-,6,2,-,-,-,451,6,2,106,14,243,416,-,-,56,-,3,60,2,1,-,5,-,-,3,-,-,-,5,-,-,-,-,2,-,-,-,-,11,-,18,523,81,11,2,20,2,-,3,2,52,1,195,40,-,-,16284,Kunlon,MMR015020
 Female,2019,7779,1,1,-,-,-,2,-,7,2,-,-,41,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,30,6,1,4,22,443,11,-,-,1,-,1,131,-,-,-,2,-,-,3,-,-,-,3,-,-,-,-,1,-,-,-,-,-,-,13,98,156,49,-,7,1,-,6,-,18,-,111,34,-,-,11008,Kunlon,MMR015020
 Total,4044,19607,18,7,-,1,-,18,-,12,3,-,-,48,-,2,1,4,-,-,1,-,-,-,2,-,-,-,-,-,2,9,17,-,6,2,-,-,-,481,12,3,110,36,686,427,-,-,57,-,4,191,2,1,-,7,-,-,6,-,-,-,8,-,-,-,-,3,-,-,-,-,11,-,31,621,237,60,2,27,3,-,9,2,70,1,306,74,-,-,27292,Kunlon,MMR015020
 Male,2715,16253,23,9,2,-,-,3,-,9,3,5,-,10,-,1,-,-,-,-,1,1,5,3,18,-,-,-,-,-,29,40,17,-,8,4,-,-,-,467,4,17,187,9,470,253,-,-,15,-,276,154,1,-,1,4,-,3,7,-,4,-,1,-,-,-,-,2,2,6,-,-,13,5,29,909,92,49,-,7,4,-,65,1,40,2,256,59,3,-,22576,Laukine,MMR015022
 Female,2412,7394,1,3,-,-,-,-,-,2,-,1,-,22,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,16,1,-,2,-,-,-,-,43,4,1,13,18,390,8,-,-,-,-,372,187,1,-,-,4,-,-,2,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,14,57,89,24,1,1,1,-,82,-,2,-,182,92,-,-,11447,Laukine,MMR015022
 Total,5127,23647,24,12,2,-,-,3,-,11,3,6,-,32,-,1,-,-,-,-,2,1,5,3,18,-,-,-,-,-,30,56,18,-,10,4,-,-,-,510,8,18,200,27,860,261,-,-,15,-,648,341,2,-,1,8,-,3,9,-,5,-,1,-,-,-,-,2,2,8,-,-,13,5,43,966,181,73,1,8,5,-,147,1,42,2,438,151,3,-,34023,Laukine,MMR015022
 Male,212,9690,9,-,-,-,-,9,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,2,-,-,-,-,-,-,23,2,-,11,-,62,17,-,-,2,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,93,26,3,-,-,-,-,8,-,6,-,10,-,-,-,10204,Kongyan,MMR015023
 Female,277,8163,1,-,-,-,-,2,-,1,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,94,1,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,41,9,-,-,-,-,22,-,-,-,3,6,-,-,8649,Kongyan,MMR015023
 Total,489,17853,10,-,-,-,-,11,-,3,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,2,-,-,-,-,-,-,24,2,-,12,-,156,18,-,-,2,-,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,105,67,12,-,-,-,-,30,-,6,-,13,6,-,-,18853,Kongyan,MMR015023
 Male,66,550,1,-,-,-,-,-,-,3,-,-,-,1,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,1,2,-,-,1,-,-,-,-,66,-,-,25,-,66,72,-,-,482,-,18,45,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,3,-,3,50,9,2,2,-,-,-,12,1,4,-,7,1,-,-,1499,Chinshwehaw(ST),MMR015022
 Female,71,412,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,65,7,-,-,10,-,29,93,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,6,11,3,-,-,-,-,16,-,1,-,29,15,-,-,784,Chinshwehaw(ST),MMR015022
 Total,137,962,1,-,-,-,-,-,-,3,-,-,-,6,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,1,2,-,-,1,-,-,-,-,70,-,-,26,-,131,79,-,-,492,-,47,138,-,-,-,5,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,3,-,4,56,20,5,2,-,-,-,28,1,5,-,36,16,-,-,2283,Chinshwehaw(ST),MMR015022
 Male,496,6891,1,-,-,-,-,1,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,35,-,-,10,-,83,8,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,48,8,-,-,-,-,7,-,1,-,10,3,-,-,7649,Mawhtike(ST),MMR015023
 Female,503,4647,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,6,-,-,1,-,101,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,39,-,-,-,-,-,19,-,1,-,4,2,-,-,5330,Mawhtike(ST),MMR015023
 Total,999,11538,1,-,-,-,-,1,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,41,-,-,11,-,184,9,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,87,8,-,-,-,-,26,-,2,-,14,5,-,-,12979,Mawhtike(ST),MMR015023
 Male,1258,13222,111,-,-,-,-,73,-,8,1,-,-,2,1,-,-,3,-,-,-,1,-,7,8,-,-,-,-,-,2,18,29,-,9,2,-,-,-,509,20,11,61,1,241,239,1,-,5,-,2,44,-,3,-,4,-,-,3,-,-,-,6,-,-,-,-,3,1,-,-,2,6,1,13,331,74,12,1,13,-,-,3,1,14,-,36,13,-,-,16429,Hopan,MMR015021
 Female,1361,9459,82,-,-,-,-,6,-,12,2,-,2,41,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,4,1,-,-,2,-,-,-,80,3,-,-,2,377,5,-,-,1,-,-,93,1,2,-,6,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,5,68,143,36,-,10,-,-,4,-,4,-,27,75,-,-,11919,Hopan,MMR015021
 Total,2619,22681,193,-,-,-,-,79,-,20,3,-,2,43,2,-,-,3,-,-,-,1,-,8,8,-,-,-,-,-,2,22,30,-,9,4,-,-,-,589,23,11,61,3,618,244,1,-,6,-,2,137,1,5,-,10,-,-,4,-,-,-,7,-,-,-,-,3,1,-,-,2,7,1,18,399,217,48,1,23,-,-,7,1,18,-,63,88,-,-,28348,Hopan,MMR015021
 Male,2214,17205,40,3,-,-,-,8,-,1,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,1,-,-,-,70,-,1,40,8,156,116,-,-,1,-,3,15,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,3,9,28,8,-,-,-,-,1,-,14,-,19,4,-,-,19981,Minemaw,MMR015008
 Female,2262,14162,20,1,-,-,-,-,-,1,-,-,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,4,-,1,8,5,158,2,-,-,-,-,3,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,27,12,-,-,-,-,1,-,2,-,17,11,-,-,16754,Minemaw,MMR015008
 Total,4476,31367,60,4,-,-,-,8,-,2,-,-,4,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,1,-,-,-,74,-,2,48,13,314,118,-,-,1,-,6,50,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,3,13,55,20,-,-,-,-,2,-,16,-,36,15,-,-,36735,Minemaw,MMR015008
 Male,6260,21250,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,3,2,35,11,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,15,1,-,-,1,-,-,-,2,-,1,1,-,-,27709,Panwine,MMR015007
 Female,6022,17887,68,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,30,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,2,-,-,1,1,-,24026,Panwine,MMR015007
 Total,12282,39137,172,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,3,3,65,11,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,23,1,-,-,1,-,-,-,4,-,1,2,1,-,51735,Panwine,MMR015007
 Male,173,1244,6,1,-,-,-,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,2,-,-,-,-,-,-,68,2,-,6,8,51,20,-,-,2,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,26,1,4,-,-,-,-,-,-,-,-,5,3,1,-,1683,Panlon(ST),MMR015021
 Female,207,411,-,-,-,-,-,5,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,5,99,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,4,8,4,-,1,-,-,-,-,-,-,7,10,-,-,776,Panlon(ST),MMR015021
 Total,380,1655,6,1,-,-,-,48,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,2,-,-,-,-,-,-,73,2,-,6,13,150,20,-,-,2,-,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,3,30,9,8,-,1,-,-,-,-,-,-,12,13,1,-,2459,Panlon(ST),MMR015021
 Male,314,4731,7,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,45,9,-,2,-,57,3,4,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,252,23,-,-,-,-,-,-,-,1,-,3,-,-,-,5463,Makman,MMR015024
 Female,496,3598,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,4,-,-,-,50,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,25,27,-,-,-,-,-,-,-,-,-,3,-,-,4236,Makman,MMR015024
 Total,810,8329,7,-,-,-,-,1,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,53,13,-,2,-,107,3,4,-,-,-,-,4,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,272,48,27,-,-,-,-,-,-,1,-,3,3,-,-,9699,Makman,MMR015024
 Male,2787,18538,840,9,-,-,-,55,1,6,-,19,1,10,-,1,-,1,-,-,-,37,11,11,10,-,-,-,-,-,4,17,30,-,49,2,-,-,-,510,2,7,116,30,1107,145,-,-,10,-,33,128,1,6,-,4,-,2,5,-,-,1,2,-,-,-,-,3,1,6,-,-,1,1,15,143,76,47,3,6,1,-,10,1,67,-,185,38,-,-,25152,Pan San(Pan Kham),MMR015005
 Female,2586,15078,571,2,-,-,-,22,-,2,-,11,2,36,-,-,-,-,-,-,-,15,3,5,1,-,-,-,-,-,1,6,2,-,10,-,-,-,-,28,-,-,20,16,733,10,-,-,1,-,25,122,-,-,-,4,-,-,1,-,-,2,-,-,-,-,-,1,-,4,-,1,-,1,3,12,86,32,1,3,-,-,9,2,8,-,96,80,-,-,19654,Pan San(Pan Kham),MMR015005
 Total,5373,33616,1411,11,-,-,-,77,1,8,-,30,3,46,-,1,-,1,-,-,-,52,14,16,11,-,-,-,-,-,5,23,32,-,59,2,-,-,-,538,2,7,136,46,1840,155,-,-,11,-,58,250,1,6,-,8,-,2,6,-,-,3,2,-,-,-,-,4,1,10,-,1,1,2,18,155,162,79,4,9,1,-,19,3,75,-,281,118,-,-,44806,Pan San(Pan Kham),MMR015005
 Male,4585,28349,120,-,-,-,-,8,-,-,3,-,-,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,1,-,2,2,151,28,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,11,56,5,-,-,-,-,-,-,5,-,5,2,-,-,33365,Naphang,MMR015006
 Female,4455,23361,82,-,-,-,-,1,-,-,1,-,-,8,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,103,7,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,47,3,-,-,-,-,-,-,4,-,2,4,1,-,28098,Naphang,MMR015006
