Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total,Township,MIMU_code
 Total,27,19,6,8,6,4,2,-,1,-,1,-,1,-,1,1,-,-,1,3,2,1,-,-,-,-,-,-,-,1,-,-,1,-,3,1,-,1,-,-,7,-,1,3,-,-,-,1,-,-,6,-,-,1,-,-,-,-,1,-,3,-,-,-,1,-,-,2,-,1,5,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,4,130,Minemaw,MMR015008
 Male,5,9,9,7,3,3,1,-,2,-,-,-,5,-,-,2,-,-,2,1,3,1,-,-,-,2,-,-,1,-,1,-,1,-,-,1,-,-,1,-,4,-,-,-,-,1,-,-,-,1,3,-,1,-,-,1,-,1,-,-,4,-,-,-,-,2,-,-,-,-,4,-,-,-,-,3,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,87,Panwine,MMR015007
 Female,16,11,5,6,3,3,-,5,-,1,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,2,-,-,-,-,1,-,-,1,1,1,-,-,1,-,-,-,-,-,-,7,-,-,-,-,1,-,-,-,-,1,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,2,-,-,-,-,1,81,Panwine,MMR015007
 Total,21,20,14,13,6,6,1,5,2,1,2,-,6,-,-,2,-,-,2,1,4,1,-,-,-,4,-,-,1,-,3,-,1,-,-,2,-,-,2,1,5,-,-,1,-,1,-,-,-,1,10,-,1,-,-,2,-,1,-,-,5,-,-,-,-,5,-,-,-,-,4,-,-,-,-,3,-,-,-,-,2,2,-,-,1,2,-,-,-,-,1,168,Panwine,MMR015007
 Male,5,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,3,-,1,-,-,1,1,-,-,-,1,1,1,-,-,1,1,-,-,-,1,1,2,-,-,1,-,1,-,1,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,33,Panlon(ST),MMR015021
 Female,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,9,Panlon(ST),MMR015021
 Total,7,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,3,-,1,-,-,2,1,-,-,-,1,1,1,-,-,1,1,-,-,-,1,1,2,-,-,1,-,1,-,1,2,-,-,-,-,-,1,-,2,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-,1,42,Panlon(ST),MMR015021
 Male,17,2,1,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,1,-,-,-,-,4,-,-,-,2,-,-,-,-,-,2,-,1,-,-,1,-,-,-,-,-,46,Makman,MMR015024
 Female,9,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,1,2,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,1,-,-,2,-,-,-,-,-,-,-,-,-,4,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,33,Makman,MMR015024
 Total,26,2,1,3,1,-,-,-,-,-,-,1,-,1,-,1,-,1,2,-,1,-,1,2,-,1,-,1,-,-,1,-,-,-,-,2,-,-,-,-,2,-,1,-,-,3,-,1,-,1,-,-,-,-,-,4,-,-,-,-,6,-,-,1,-,1,-,-,-,-,4,-,-,-,2,-,-,-,-,-,3,-,1,-,-,1,-,-,-,-,-,79,Makman,MMR015024
 Male,34,28,8,4,3,8,2,3,1,-,2,1,1,1,-,4,1,1,2,1,6,3,1,1,-,2,1,-,1,1,4,-,-,1,1,3,1,2,2,-,9,-,2,-,-,3,-,1,-,-,6,-,-,-,1,3,-,2,1,-,15,-,-,-,1,4,-,1,-,1,11,2,1,1,-,3,1,-,-,-,2,1,1,1,-,2,-,-,-,-,4,215,Pan San(Pan Kham),MMR015005
 Female,28,23,8,9,1,4,2,3,2,-,2,2,1,1,4,4,-,-,2,1,3,1,3,1,1,5,1,2,2,1,12,-,2,-,-,5,1,-,1,-,6,-,-,2,-,5,1,-,-,-,6,1,-,1,-,5,1,2,-,-,12,-,-,1,-,3,-,1,-,-,3,-,1,1,-,4,2,1,1,-,3,-,-,-,-,-,1,-,-,-,3,205,Pan San(Pan Kham),MMR015005
 Total,62,51,16,13,4,12,4,6,3,-,4,3,2,2,4,8,1,1,4,2,9,4,4,2,1,7,2,2,3,2,16,-,2,1,1,8,2,2,3,-,15,-,2,2,-,8,1,1,-,-,12,1,-,1,1,8,1,4,1,-,27,-,-,1,1,7,-,2,-,1,14,2,2,2,-,7,3,1,1,-,5,1,1,1,-,2,1,-,-,-,7,420,Pan San(Pan Kham),MMR015005
 Male,19,8,12,7,8,3,4,1,3,3,1,1,2,-,1,1,1,-,2,-,-,-,-,-,-,1,1,-,-,-,3,-,-,1,-,2,-,-,-,-,7,-,1,-,-,3,1,-,-,-,6,-,-,-,-,1,-,-,-,1,5,1,-,1,-,4,-,-,1,-,5,2,-,1,1,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,1,131,Naphang,MMR015006
 Female,12,16,11,6,3,8,2,4,1,2,1,1,-,-,1,-,1,-,2,-,2,-,1,-,-,4,-,-,1,-,4,-,-,-,-,1,-,1,3,-,7,1,-,1,-,3,-,1,-,-,1,-,-,1,-,-,-,-,1,-,4,-,-,-,-,-,-,1,-,1,3,-,-,-,1,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,1,118,Naphang,MMR015006
 Total,31,24,23,13,11,11,6,5,4,5,2,2,2,-,2,1,2,-,4,-,2,-,1,-,-,5,1,-,1,-,7,-,-,1,-,3,-,1,3,-,14,1,1,1,-,6,1,1,-,-,7,-,-,1,-,1,-,-,1,1,9,1,-,1,-,4,-,1,1,1,8,2,-,1,2,-,1,-,-,-,4,-,1,-,1,-,-,-,-,-,2,249,Naphang,MMR015006
 Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,ManKan(ST),MMR015005
 Female,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,ManKan(ST),MMR015005
 Total,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,ManKan(ST),MMR015005
 Male,22,13,4,5,4,1,1,2,1,4,1,2,-,1,1,3,-,1,3,-,5,3,6,3,1,1,-,3,2,1,4,2,1,1,6,5,2,7,4,2,4,3,5,1,4,6,1,4,4,2,8,7,5,3,4,12,5,7,3,4,11,3,3,5,3,11,2,3,2,7,7,-,6,4,6,4,4,6,4,3,7,1,2,4,3,3,3,2,1,1,9,350,Kengtung,MMR016001
 Female,18,7,3,2,3,-,2,2,1,-,-,1,-,-,1,1,2,1,2,1,1,-,3,2,-,1,-,1,-,2,3,1,1,1,-,2,2,2,-,1,4,-,2,2,1,1,2,1,4,2,5,-,4,4,5,1,1,-,2,1,5,2,4,2,2,1,-,3,1,5,5,4,3,5,7,5,2,-,7,2,11,2,2,5,6,3,3,1,3,3,16,232,Kengtung,MMR016001
 Total,40,20,7,7,7,1,3,4,2,4,1,3,-,1,2,4,2,2,5,1,6,3,9,5,1,2,-,4,2,3,7,3,2,2,6,7,4,9,4,3,8,3,7,3,5,7,3,5,8,4,13,7,9,7,9,13,6,7,5,5,16,5,7,7,5,12,2,6,3,12,12,4,9,9,13,9,6,6,11,5,18,3,4,9,9,6,6,3,4,4,25,582,Kengtung,MMR016001
 Male,17,7,1,2,4,1,1,-,-,-,1,-,-,1,-,2,-,2,-,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,-,1,1,1,-,4,1,1,1,-,1,-,2,-,-,-,1,-,2,2,1,1,1,-,-,4,-,2,1,1,1,1,1,-,1,3,1,-,-,-,-,1,-,-,1,1,1,-,-,-,2,88,Minekat,MMR016002
 Female,7,-,-,2,3,2,-,-,-,1,3,-,-,3,2,-,-,-,2,-,-,-,1,-,-,1,-,-,-,-,4,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,1,1,-,-,2,-,-,-,-,1,-,1,-,1,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,48,Minekat,MMR016002
 Total,24,7,1,4,7,3,1,-,-,1,4,-,-,4,2,2,-,2,2,-,-,-,3,-,1,1,-,-,-,-,5,-,1,-,-,-,-,1,-,1,2,1,1,1,-,4,2,2,1,-,3,-,2,-,-,1,1,1,2,3,1,1,2,-,-,4,1,3,1,1,1,1,1,-,1,4,1,-,1,-,-,1,-,-,2,2,1,-,-,-,2,136,Minekat,MMR016002
 Male,10,9,4,3,2,3,4,3,-,-,2,-,-,-,-,-,1,-,3,-,-,1,-,-,-,1,-,1,-,1,2,-,2,-,1,-,3,-,-,1,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,1,2,1,-,2,-,2,1,2,-,-,-,2,-,1,-,1,-,-,3,1,1,1,-,3,-,1,-,1,2,-,-,-,-,1,90,Mineyan,MMR016003
 Female,6,27,6,5,4,3,-,2,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,2,-,4,-,-,2,-,2,-,1,1,1,1,1,-,-,-,-,-,1,-,2,1,-,-,3,-,-,2,-,1,-,1,-,-,1,-,-,-,-,-,-,1,2,-,2,1,3,3,-,-,-,-,-,6,3,1,-,2,1,-,-,2,110,Mineyan,MMR016003
 Total,16,36,10,8,6,6,4,5,-,-,2,1,-,-,-,-,2,-,3,-,1,1,-,-,-,1,-,1,2,1,6,-,2,2,1,2,3,1,1,2,2,1,-,-,-,-,-,1,-,2,1,2,-,3,-,1,3,2,2,-,3,-,2,2,2,-,-,-,2,-,2,2,1,2,1,6,4,1,1,-,3,-,7,3,2,2,2,1,-,-,3,200,Mineyan,MMR016003
 Male,5,-,1,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,1,-,-,-,-,-,4,-,1,-,2,2,1,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,2,2,-,1,-,-,1,2,-,1,-,-,-,-,-,-,-,-,-,-,1,-,38,Minelar,MMR016005
 Female,7,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2,1,-,2,-,1,-,-,-,-,-,1,-,-,-,-,2,-,-,-,3,3,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,34,Minelar,MMR016005
 Total,12,3,1,-,-,-,-,-,-,-,-,-,1,-,3,-,-,-,1,-,-,-,2,-,-,1,1,-,-,-,1,-,-,-,1,-,-,1,-,-,4,-,1,-,2,2,1,-,1,1,1,-,1,-,2,2,-,2,-,1,-,-,-,-,-,2,-,1,-,2,4,-,1,-,3,4,3,-,1,-,-,-,-,-,-,-,-,-,1,1,-,72,Minelar,MMR016005
 Male,5,3,2,2,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,2,-,-,1,1,-,-,-,3,1,1,-,1,2,-,-,3,1,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,2,-,2,-,-,-,-,1,1,-,-,-,4,-,-,-,-,-,-,-,-,-,1,49,Mine Pauk(ST),MMR016003
 Female,3,7,1,-,-,2,-,1,1,-,-,-,-,1,-,-,1,1,1,-,1,-,-,-,-,1,-,-,1,-,2,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,33,Mine Pauk(ST),MMR016003
 Total,8,10,3,2,-,2,-,1,1,-,1,-,1,1,1,-,1,1,1,-,1,-,2,-,-,2,1,-,1,-,5,1,1,-,1,2,-,-,4,1,-,-,1,1,-,-,1,1,-,-,1,-,-,-,-,1,2,-,-,-,-,-,1,-,-,1,-,-,2,-,3,-,-,-,-,2,2,-,-,-,5,-,-,-,-,-,-,-,-,-,2,82,Mine Pauk(ST),MMR016003
 Male,27,15,10,4,4,5,5,3,3,-,-,1,2,4,1,-,1,1,-,-,2,1,1,-,2,2,-,1,1,3,3,2,-,1,2,5,4,1,2,2,4,1,1,-,1,4,1,1,3,2,8,1,-,3,2,6,-,-,1,1,7,-,1,-,1,1,1,-,-,-,7,2,3,1,-,2,-,-,1,-,2,-,-,-,-,2,-,1,-,-,3,196,Minesat,MMR016006
 Female,23,20,8,6,3,6,1,7,2,1,4,2,-,5,1,-,-,1,1,-,2,-,1,-,1,2,1,1,-,1,3,1,1,-,-,3,1,2,1,-,2,1,1,1,-,1,-,-,-,1,4,1,1,2,1,1,1,1,1,-,1,-,1,-,1,-,1,-,1,1,5,-,1,1,-,2,1,-,1,-,3,-,1,-,1,-,1,-,-,-,3,158,Minesat,MMR016006
 Total,50,35,18,10,7,11,6,10,5,1,4,3,2,9,2,-,1,2,1,-,4,1,2,-,3,4,1,2,1,4,6,3,1,1,2,8,5,3,3,2,6,2,2,1,1,5,1,1,3,3,12,2,1,5,3,7,1,1,2,1,8,-,2,-,2,1,2,-,1,1,12,2,4,2,-,4,1,-,2,-,5,-,1,-,1,2,1,1,-,-,6,354,Minesat,MMR016006
 Male,19,2,1,-,2,-,3,1,1,-,2,2,2,-,-,-,-,-,-,-,1,-,1,-,-,-,1,1,-,-,2,-,2,-,1,1,-,-,1,1,2,-,-,-,-,5,1,-,1,-,5,-,1,2,-,1,1,-,2,1,4,-,-,-,3,2,-,-,-,-,-,-,-,-,-,1,-,3,1,-,-,1,1,-,-,1,-,-,-,-,2,88,Minepyin,MMR016007
 Female,14,6,1,-,1,-,-,1,-,-,1,1,-,-,1,-,-,-,-,-,1,-,1,-,-,-,1,1,1,-,1,1,-,-,-,-,-,-,1,1,1,1,-,1,-,1,-,-,1,1,3,-,1,-,-,2,3,-,-,1,1,-,-,-,-,2,-,-,-,-,4,-,-,-,-,-,-,-,1,-,2,1,-,1,-,2,-,-,1,-,1,67,Minepyin,MMR016007
 Total,33,8,2,-,3,-,3,2,1,-,3,3,2,-,1,-,-,-,-,-,2,-,2,-,-,-,2,2,1,-,3,1,2,-,1,1,-,-,2,2,3,1,-,1,-,6,1,-,2,1,8,-,2,2,-,3,4,-,2,2,5,-,-,-,3,4,-,-,-,-,4,-,-,-,-,1,-,3,2,-,2,2,1,1,-,3,-,-,1,-,3,155,Minepyin,MMR016007
 Male,17,3,-,5,1,1,-,1,-,1,-,-,2,-,1,2,-,-,-,1,-,-,-,2,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,1,-,1,2,-,1,1,-,4,-,1,1,-,-,-,-,-,-,2,-,-,2,1,-,-,-,2,-,2,-,-,-,-,-,-,1,2,-,-,1,2,1,1,-,-,1,-,-,1,72,Minetung,MMR016008
 Female,14,7,-,2,3,3,-,1,2,1,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,3,-,-,-,-,1,-,-,-,-,1,-,1,1,-,1,-,-,-,-,2,-,-,-,-,1,-,-,2,-,2,-,-,-,-,1,-,-,-,-,2,58,Minetung,MMR016008
 Total,31,10,-,7,4,4,-,2,2,2,1,-,2,1,1,2,1,-,-,1,-,-,-,2,1,1,-,-,-,-,1,-,-,-,-,1,-,1,-,-,2,-,1,-,1,3,-,1,1,-,7,-,1,1,-,1,-,-,-,-,3,-,1,3,1,1,-,-,2,-,4,-,-,-,-,1,-,1,4,-,2,1,2,1,1,1,-,1,-,-,3,130,Minetung,MMR016008
 Male,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,Minekoke(ST),MMR016006
 Female,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,19,Minekoke(ST),MMR016006
 Total,8,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,1,-,-,-,1,4,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,34,Minekoke(ST),MMR016006
 Male,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,14,Tontar(ST),MMR016007
 Female,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,8,Tontar(ST),MMR016007
 Total,5,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,2,22,Tontar(ST),MMR016007
 Male,12,15,2,7,2,4,3,1,6,4,2,2,3,-,2,2,-,-,-,-,1,1,1,-,-,1,1,1,-,-,2,1,-,-,-,3,-,2,-,-,1,1,-,-,-,3,2,1,1,1,6,1,2,2,-,-,1,1,1,1,6,-,1,-,-,1,-,1,1,-,2,-,-,1,-,1,-,-,1,-,1,-,-,-,-,-,1,1,-,-,1,125,Ponparkyin(ST),MMR016008
 Female,13,7,11,4,1,-,2,2,2,1,-,1,-,-,-,3,-,1,1,-,1,-,-,-,-,1,-,-,1,-,3,-,3,-,-,1,1,-,1,-,1,-,-,1,-,1,1,-,3,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,2,-,-,-,-,-,-,-,-,1,2,-,-,-,2,-,-,-,-,-,80,Ponparkyin(ST),MMR016008
 Total,25,22,13,11,3,4,5,3,8,5,2,3,3,-,2,5,-,1,1,-,2,1,1,-,-,2,1,1,1,-,5,1,3,-,-,4,1,2,1,-,2,1,-,1,-,4,3,1,4,1,6,1,2,2,1,1,1,1,1,1,6,-,1,-,-,2,1,1,1,-,3,2,-,1,-,1,-,-,1,-,2,2,-,-,-,2,1,1,-,-,1,205,Ponparkyin(ST),MMR016008
 Male,7,9,4,2,1,-,-,1,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,Monehta(ST),MMR016008
 Female,2,2,1,3,2,-,-,1,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,15,Monehta(ST),MMR016008
 Total,9,11,5,5,3,-,-,2,1,2,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,47,Monehta(ST),MMR016008
 Male,18,2,1,-,1,-,-,-,-,-,-,1,-,-,1,2,2,3,2,3,-,1,1,1,1,4,1,1,6,2,5,4,6,7,3,9,2,5,5,6,5,4,10,2,3,6,6,6,5,7,3,5,3,2,7,4,6,6,1,8,3,2,4,2,2,8,5,3,3,3,3,-,2,1,1,6,6,7,1,1,10,2,2,4,3,5,1,-,-,-,3,298,Tachileik,MMR016009
 Female,12,3,1,2,1,1,-,1,-,1,-,-,-,1,1,1,2,1,1,2,1,1,2,-,-,-,1,2,2,-,3,4,2,-,2,1,-,3,4,-,-,2,5,2,1,1,2,1,1,1,7,2,4,1,5,2,4,3,2,3,-,2,1,2,3,3,2,1,5,1,3,1,3,6,2,4,3,2,2,5,3,-,1,3,5,-,-,1,1,1,4,178,Tachileik,MMR016009
 Total,30,5,2,2,2,1,-,1,-,1,-,1,-,1,2,3,4,4,3,5,1,2,3,1,1,4,2,3,8,2,8,8,8,7,5,10,2,8,9,6,5,6,15,4,4,7,8,7,6,8,10,7,7,3,12,6,10,9,3,11,3,4,5,4,5,11,7,4,8,4,6,1,5,7,3,10,9,9,3,6,13,2,3,7,8,5,1,1,1,1,7,476,Tachileik,MMR016009
 Male,4,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,1,-,1,-,-,-,-,-,2,1,1,2,1,1,-,-,-,-,2,-,1,-,1,-,1,2,1,1,-,-,1,2,-,3,-,1,2,-,-,-,-,-,-,-,-,-,1,-,-,44,Talay(ST),MMR016009
 Female,3,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,1,-,-,-,1,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,1,-,3,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,25,Talay(ST),MMR016009
 Total,7,3,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,-,-,-,3,-,1,-,-,1,1,-,-,1,-,1,-,-,2,-,1,-,-,1,1,1,1,-,1,-,-,-,-,-,2,1,1,3,1,1,-,-,-,1,3,-,1,1,1,3,1,2,1,1,1,-,2,2,-,3,-,2,2,-,-,1,-,-,-,-,-,-,1,-,1,69,Talay(ST),MMR016009
 Male,5,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,2,-,-,1,-,-,1,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,24,Kenglat(ST),MMR016009
 Female,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,1,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,11,Kenglat(ST),MMR016009
 Total,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,-,-,-,-,-,-,-,-,1,1,-,-,1,-,2,-,-,3,-,1,1,1,-,-,2,-,-,-,1,-,1,1,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,35,Kenglat(ST),MMR016009
 Male,6,1,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,2,1,1,-,1,2,-,-,1,-,1,-,3,1,-,-,-,3,-,-,3,2,1,1,2,-,-,1,3,-,2,1,2,2,1,2,2,1,3,1,1,1,3,-,1,2,1,-,-,2,1,-,1,-,-,-,-,-,-,-,1,72,Minephyat,MMR016010
 Female,8,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,1,1,-,1,-,1,-,1,1,1,-,-,1,1,-,1,-,1,-,1,-,2,-,-,2,1,-,-,-,1,1,2,-,2,2,-,-,-,42,Minephyat,MMR016010
