Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,56,1743,1799,Minhla,MMR009013
 Bungalow/Brick house,542,563,1105,Minhla,MMR009013
 Semi-pacca house,265,737,1002,Minhla,MMR009013
 Wooden house,572,10905,11477,Minhla,MMR009013
 Bamboo,1502,13962,15464,Minhla,MMR009013
 Hut 2 - 3 years,33,498,531,Minhla,MMR009013
 Hut 1 year,5,202,207,Minhla,MMR009013
 Other,6,31,37,Minhla,MMR009013
 Total,2981,28641,31622,Minhla,MMR009013
 Condominium/Apartment/Flat,22,2,24,Mindon,MMR009014
 Bungalow/Brick house,151,70,221,Mindon,MMR009014
 Semi-pacca house,168,250,418,Mindon,MMR009014
 Wooden house,489,8798,9287,Mindon,MMR009014
 Bamboo,436,6196,6632,Mindon,MMR009014
 Hut 2 - 3 years,3,130,133,Mindon,MMR009014
 Hut 1 year,1,70,71,Mindon,MMR009014
 Other,-,23,23,Mindon,MMR009014
 Total,1270,15539,16809,Mindon,MMR009014
 Condominium/Apartment/Flat,10,3,13,Kamma,MMR009015
 Bungalow/Brick house,82,136,218,Kamma,MMR009015
 Semi-pacca house,128,476,604,Kamma,MMR009015
 Wooden house,544,9276,9820,Kamma,MMR009015
 Bamboo,516,7307,7823,Kamma,MMR009015
 Hut 2 - 3 years,2,386,388,Kamma,MMR009015
 Hut 1 year,9,230,239,Kamma,MMR009015
 Other,3,35,38,Kamma,MMR009015
 Total,1294,17849,19143,Kamma,MMR009015
 Condominium/Apartment/Flat,366,844,1210,Aunglan,MMR009016
 Bungalow/Brick house,1482,766,2248,Aunglan,MMR009016
 Semi-pacca house,1066,1648,2714,Aunglan,MMR009016
 Wooden house,4470,22123,26593,Aunglan,MMR009016
 Bamboo,3745,18628,22373,Aunglan,MMR009016
 Hut 2 - 3 years,260,1332,1592,Aunglan,MMR009016
 Hut 1 year,140,465,605,Aunglan,MMR009016
 Other,96,178,274,Aunglan,MMR009016
 Total,11625,45984,57609,Aunglan,MMR009016
 Condominium/Apartment/Flat,1,398,399,Sinpaungwe`,MMR009017
 Bungalow/Brick house,146,344,490,Sinpaungwe`,MMR009017
 Semi-pacca house,90,1155,1245,Sinpaungwe`,MMR009017
 Wooden house,487,13265,13752,Sinpaungwe`,MMR009017
 Bamboo,551,11818,12369,Sinpaungwe`,MMR009017
 Hut 2 - 3 years,2,302,304,Sinpaungwe`,MMR009017
 Hut 1 year,4,85,89,Sinpaungwe`,MMR009017
 Other,-,36,36,Sinpaungwe`,MMR009017
 Total,1281,27403,28684,Sinpaungwe`,MMR009017
 Condominium/Apartment/Flat,336,2182,2518,Pakokku,MMR009018
 Bungalow/Brick house,1658,1345,3003,Pakokku,MMR009018
 Semi-pacca house,1422,3055,4477,Pakokku,MMR009018
 Wooden house,3717,12514,16231,Pakokku,MMR009018
 Bamboo,11679,26811,38490,Pakokku,MMR009018
 Hut 2 - 3 years,139,968,1107,Pakokku,MMR009018
 Hut 1 year,55,211,266,Pakokku,MMR009018
 Other,63,185,248,Pakokku,MMR009018
 Total,19069,47271,66340,Pakokku,MMR009018
 Condominium/Apartment/Flat,82,226,308,Yesagyo,MMR009019
 Bungalow/Brick house,307,1247,1554,Yesagyo,MMR009019
 Semi-pacca house,197,1553,1750,Yesagyo,MMR009019
 Wooden house,669,11455,12124,Yesagyo,MMR009019
 Bamboo,3491,24868,28359,Yesagyo,MMR009019
 Hut 2 - 3 years,115,2589,2704,Yesagyo,MMR009019
 Hut 1 year,31,333,364,Yesagyo,MMR009019
 Other,7,162,169,Yesagyo,MMR009019
 Total,4899,42433,47332,Yesagyo,MMR009019
 Condominium/Apartment/Flat,16,91,107,Myaing,MMR009020
 Bungalow/Brick house,44,2552,2596,Myaing,MMR009020
 Semi-pacca house,780,5561,6341,Myaing,MMR009020
 Wooden house,139,11924,12063,Myaing,MMR009020
 Bamboo,801,26972,27773,Myaing,MMR009020
 Hut 2 - 3 years,11,3418,3429,Myaing,MMR009020
 Hut 1 year,8,557,565,Myaing,MMR009020
 Other,2,765,767,Myaing,MMR009020
 Total,1801,51840,53641,Myaing,MMR009020
 Condominium/Apartment/Flat,34,123,157,Pauk,MMR009021
 Bungalow/Brick house,104,485,589,Pauk,MMR009021
 Semi-pacca house,130,1061,1191,Pauk,MMR009021
 Wooden house,253,15560,15813,Pauk,MMR009021
 Bamboo,1177,18927,20104,Pauk,MMR009021
 Hut 2 - 3 years,-,800,800,Pauk,MMR009021
 Hut 1 year,1,195,196,Pauk,MMR009021
 Other,2,113,115,Pauk,MMR009021
 Total,1701,37264,38965,Pauk,MMR009021
 Condominium/Apartment/Flat,22,482,504,Seikphyu,MMR009022
 Bungalow/Brick house,269,218,487,Seikphyu,MMR009022
 Semi-pacca house,106,259,365,Seikphyu,MMR009022
 Wooden house,187,12572,12759,Seikphyu,MMR009022
 Bamboo,1498,7141,8639,Seikphyu,MMR009022
 Hut 2 - 3 years,31,520,551,Seikphyu,MMR009022
 Hut 1 year,11,81,92,Seikphyu,MMR009022
 Other,5,25,30,Seikphyu,MMR009022
 Total,2129,21298,23427,Seikphyu,MMR009022
 Condominium/Apartment/Flat,204,214,418,Gangaw,MMR009023
 Bungalow/Brick house,481,1218,1699,Gangaw,MMR009023
 Semi-pacca house,333,1746,2079,Gangaw,MMR009023
 Wooden house,795,13907,14702,Gangaw,MMR009023
 Bamboo,1432,9424,10856,Gangaw,MMR009023
 Hut 2 - 3 years,7,69,76,Gangaw,MMR009023
 Hut 1 year,4,55,59,Gangaw,MMR009023
 Other,2,21,23,Gangaw,MMR009023
 Total,3258,26654,29912,Gangaw,MMR009023
 Condominium/Apartment/Flat,13,1,14,Htilin,MMR009024
 Bungalow/Brick house,151,153,304,Htilin,MMR009024
 Semi-pacca house,144,519,663,Htilin,MMR009024
 Wooden house,269,6297,6566,Htilin,MMR009024
 Bamboo,544,2420,2964,Htilin,MMR009024
 Hut 2 - 3 years,1,6,7,Htilin,MMR009024
 Hut 1 year,1,6,7,Htilin,MMR009024
 Other,-,7,7,Htilin,MMR009024
 Total,1123,9409,10532,Htilin,MMR009024
 Condominium/Apartment/Flat,22,6,28,Saw,MMR009025
 Bungalow/Brick house,77,85,162,Saw,MMR009025
 Semi-pacca house,124,201,325,Saw,MMR009025
 Wooden house,207,2500,2707,Saw,MMR009025
 Bamboo,825,4186,5011,Saw,MMR009025
 Hut 2 - 3 years,2,49,51,Saw,MMR009025
 Hut 1 year,1,33,34,Saw,MMR009025
 Other,3,4,7,Saw,MMR009025
 Total,1261,7064,8325,Saw,MMR009025
 Condominium/Apartment/Flat,44,2,46,Kyaukhtu(ST),MMR009025
 Bungalow/Brick house,47,73,120,Kyaukhtu(ST),MMR009025
 Semi-pacca house,118,172,290,Kyaukhtu(ST),MMR009025
 Wooden house,367,3535,3902,Kyaukhtu(ST),MMR009025
 Bamboo,552,2665,3217,Kyaukhtu(ST),MMR009025
 Hut 2 - 3 years,2,12,14,Kyaukhtu(ST),MMR009025
 Hut 1 year,8,8,16,Kyaukhtu(ST),MMR009025
 Other,2,2,4,Kyaukhtu(ST),MMR009025
 Total,1140,6469,7609,Kyaukhtu(ST),MMR009025
 Condominium/Apartment/Flat,5767,-,5767,Aungmyetharzan,MMR010001
 Bungalow/Brick house,7634,-,7634,Aungmyetharzan,MMR010001
 Semi-pacca house,6460,-,6460,Aungmyetharzan,MMR010001
 Wooden house,10756,-,10756,Aungmyetharzan,MMR010001
 Bamboo,18089,-,18089,Aungmyetharzan,MMR010001
 Hut 2 - 3 years,287,-,287,Aungmyetharzan,MMR010001
 Hut 1 year,248,-,248,Aungmyetharzan,MMR010001
 Other,490,-,490,Aungmyetharzan,MMR010001
 Total,49731,-,49731,Aungmyetharzan,MMR010001
 Condominium/Apartment/Flat,4378,-,4378,Chanayeharzan,MMR010002
 Bungalow/Brick house,8316,-,8316,Chanayeharzan,MMR010002
 Semi-pacca house,6272,-,6272,Chanayeharzan,MMR010002
 Wooden house,6572,-,6572,Chanayeharzan,MMR010002
 Bamboo,7113,-,7113,Chanayeharzan,MMR010002
 Hut 2 - 3 years,104,-,104,Chanayeharzan,MMR010002
 Hut 1 year,165,-,165,Chanayeharzan,MMR010002
 Other,361,-,361,Chanayeharzan,MMR010002
 Total,33281,-,33281,Chanayeharzan,MMR010002
 Condominium/Apartment/Flat,1851,-,1851,Mahaaungmye,MMR010003
 Bungalow/Brick house,7881,-,7881,Mahaaungmye,MMR010003
 Semi-pacca house,7248,-,7248,Mahaaungmye,MMR010003
 Wooden house,9912,-,9912,Mahaaungmye,MMR010003
 Bamboo,13565,-,13565,Mahaaungmye,MMR010003
 Hut 2 - 3 years,380,-,380,Mahaaungmye,MMR010003
 Hut 1 year,747,-,747,Mahaaungmye,MMR010003
 Other,343,-,343,Mahaaungmye,MMR010003
 Total,41927,-,41927,Mahaaungmye,MMR010003
 Condominium/Apartment/Flat,2650,-,2650,Chanmyatharzi,MMR010004
 Bungalow/Brick house,7116,-,7116,Chanmyatharzi,MMR010004
 Semi-pacca house,4461,-,4461,Chanmyatharzi,MMR010004
 Wooden house,10553,-,10553,Chanmyatharzi,MMR010004
 Bamboo,26950,-,26950,Chanmyatharzi,MMR010004
 Hut 2 - 3 years,586,-,586,Chanmyatharzi,MMR010004
 Hut 1 year,384,-,384,Chanmyatharzi,MMR010004
 Other,347,-,347,Chanmyatharzi,MMR010004
 Total,53047,-,53047,Chanmyatharzi,MMR010004
 Condominium/Apartment/Flat,1524,-,1524,Pyigyidagun,MMR010005
 Bungalow/Brick house,4062,-,4062,Pyigyidagun,MMR010005
 Semi-pacca house,2895,-,2895,Pyigyidagun,MMR010005
 Wooden house,9267,-,9267,Pyigyidagun,MMR010005
 Bamboo,24283,-,24283,Pyigyidagun,MMR010005
 Hut 2 - 3 years,1030,-,1030,Pyigyidagun,MMR010005
 Hut 1 year,470,-,470,Pyigyidagun,MMR010005
 Other,344,-,344,Pyigyidagun,MMR010005
 Total,43875,-,43875,Pyigyidagun,MMR010005
 Condominium/Apartment/Flat,562,468,1030,Amarapura,MMR010006
 Bungalow/Brick house,1579,2902,4481,Amarapura,MMR010006
 Semi-pacca house,1081,1505,2586,Amarapura,MMR010006
 Wooden house,5285,8097,13382,Amarapura,MMR010006
 Bamboo,7879,18664,26543,Amarapura,MMR010006
 Hut 2 - 3 years,126,577,703,Amarapura,MMR010006
 Hut 1 year,45,646,691,Amarapura,MMR010006
 Other,73,137,210,Amarapura,MMR010006
 Total,16630,32996,49626,Amarapura,MMR010006
 Condominium/Apartment/Flat,54,1591,1645,Patheingyi,MMR010007
 Bungalow/Brick house,506,2732,3238,Patheingyi,MMR010007
 Semi-pacca house,219,2279,2498,Patheingyi,MMR010007
 Wooden house,458,10266,10724,Patheingyi,MMR010007
 Bamboo,1424,30995,32419,Patheingyi,MMR010007
 Hut 2 - 3 years,23,1175,1198,Patheingyi,MMR010007
 Hut 1 year,6,938,944,Patheingyi,MMR010007
 Other,12,312,324,Patheingyi,MMR010007
 Total,2702,50288,52990,Patheingyi,MMR010007
 Condominium/Apartment/Flat,4964,1191,6155,Pyin Oo Lwin,MMR010008
 Bungalow/Brick house,11106,6268,17374,Pyin Oo Lwin,MMR010008
 Semi-pacca house,2630,2248,4878,Pyin Oo Lwin,MMR010008
 Wooden house,2119,2397,4516,Pyin Oo Lwin,MMR010008
 Bamboo,10170,8843,19013,Pyin Oo Lwin,MMR010008
 Hut 2 - 3 years,561,213,774,Pyin Oo Lwin,MMR010008
 Hut 1 year,68,116,184,Pyin Oo Lwin,MMR010008
 Other,323,165,488,Pyin Oo Lwin,MMR010008
 Total,31941,21441,53382,Pyin Oo Lwin,MMR010008
 Condominium/Apartment/Flat,37,173,210,Madaya,MMR010009
 Bungalow/Brick house,1067,1878,2945,Madaya,MMR010009
 Semi-pacca house,379,1410,1789,Madaya,MMR010009
 Wooden house,995,11698,12693,Madaya,MMR010009
 Bamboo,2782,35450,38232,Madaya,MMR010009
 Hut 2 - 3 years,43,1029,1072,Madaya,MMR010009
 Hut 1 year,6,1098,1104,Madaya,MMR010009
 Other,2,598,600,Madaya,MMR010009
 Total,5311,53334,58645,Madaya,MMR010009
 Condominium/Apartment/Flat,17,95,112,Sinku,MMR010010
 Bungalow/Brick house,290,1255,1545,Sinku,MMR010010
 Semi-pacca house,130,1286,1416,Sinku,MMR010010
 Wooden house,336,7622,7958,Sinku,MMR010010
 Bamboo,932,21352,22284,Sinku,MMR010010
 Hut 2 - 3 years,8,571,579,Sinku,MMR010010
 Hut 1 year,13,380,393,Sinku,MMR010010
 Other,6,240,246,Sinku,MMR010010
 Total,1732,32801,34533,Sinku,MMR010010
 Condominium/Apartment/Flat,135,51,186,Mogok,MMR010011
 Bungalow/Brick house,1893,1333,3226,Mogok,MMR010011
 Semi-pacca house,2704,2138,4842,Mogok,MMR010011
 Wooden house,2961,3641,6602,Mogok,MMR010011
 Bamboo,8820,10479,19299,Mogok,MMR010011
 Hut 2 - 3 years,41,189,230,Mogok,MMR010011
 Hut 1 year,4,48,52,Mogok,MMR010011
 Other,128,682,810,Mogok,MMR010011
 Total,16686,18561,35247,Mogok,MMR010011
 Condominium/Apartment/Flat,2,624,626,Thabeikkyin,MMR010012
 Bungalow/Brick house,26,930,956,Thabeikkyin,MMR010012
 Semi-pacca house,58,995,1053,Thabeikkyin,MMR010012
 Wooden house,281,3651,3932,Thabeikkyin,MMR010012
 Bamboo,737,17268,18005,Thabeikkyin,MMR010012
 Hut 2 - 3 years,48,610,658,Thabeikkyin,MMR010012
 Hut 1 year,17,239,256,Thabeikkyin,MMR010012
 Other,19,244,263,Thabeikkyin,MMR010012
 Total,1188,24561,25749,Thabeikkyin,MMR010012
 Condominium/Apartment/Flat,14,1,15,Tagaung,MMR010012
 Bungalow/Brick house,153,38,191,Tagaung,MMR010012
 Semi-pacca house,70,62,132,Tagaung,MMR010012
 Wooden house,298,996,1294,Tagaung,MMR010012
 Bamboo,1223,4120,5343,Tagaung,MMR010012
 Hut 2 - 3 years,12,192,204,Tagaung,MMR010012
 Hut 1 year,9,133,142,Tagaung,MMR010012
 Other,14,57,71,Tagaung,MMR010012
 Total,1793,5599,7392,Tagaung,MMR010012
 Condominium/Apartment/Flat,291,1291,1582,Kyaukse,MMR010013
 Bungalow/Brick house,1718,3117,4835,Kyaukse,MMR010013
 Semi-pacca house,648,1877,2525,Kyaukse,MMR010013
 Wooden house,1070,4775,5845,Kyaukse,MMR010013
 Bamboo,4718,37585,42303,Kyaukse,MMR010013
 Hut 2 - 3 years,28,323,351,Kyaukse,MMR010013
 Hut 1 year,8,162,170,Kyaukse,MMR010013
 Other,10,144,154,Kyaukse,MMR010013
 Total,8491,49274,57765,Kyaukse,MMR010013
 Condominium/Apartment/Flat,33,973,1006,Singaing,MMR010014
 Bungalow/Brick house,387,2930,3317,Singaing,MMR010014
 Semi-pacca house,132,1326,1458,Singaing,MMR010014
 Wooden house,166,3261,3427,Singaing,MMR010014
 Bamboo,1015,22950,23965,Singaing,MMR010014
 Hut 2 - 3 years,34,190,224,Singaing,MMR010014
 Hut 1 year,4,74,78,Singaing,MMR010014
 Other,9,95,104,Singaing,MMR010014
 Total,1780,31799,33579,Singaing,MMR010014
 Condominium/Apartment/Flat,61,435,496,Myitthar,MMR010015
 Bungalow/Brick house,425,1969,2394,Myitthar,MMR010015
 Semi-pacca house,312,1647,1959,Myitthar,MMR010015
 Wooden house,433,4483,4916,Myitthar,MMR010015
 Bamboo,3077,32690,35767,Myitthar,MMR010015
 Hut 2 - 3 years,15,336,351,Myitthar,MMR010015
 Hut 1 year,1,54,55,Myitthar,MMR010015
 Other,22,57,79,Myitthar,MMR010015
 Total,4346,41671,46017,Myitthar,MMR010015
 Condominium/Apartment/Flat,30,113,143,Tada U,MMR010016
 Bungalow/Brick house,471,2739,3210,Tada U,MMR010016
 Semi-pacca house,136,1344,1480,Tada U,MMR010016
 Wooden house,215,3636,3851,Tada U,MMR010016
 Bamboo,1776,20792,22568,Tada U,MMR010016
 Hut 2 - 3 years,9,853,862,Tada U,MMR010016
 Hut 1 year,6,98,104,Tada U,MMR010016
 Other,9,400,409,Tada U,MMR010016
 Total,2652,29975,32627,Tada U,MMR010016
 Condominium/Apartment/Flat,434,76,510,Myingyan,MMR010017
 Bungalow/Brick house,1664,1557,3221,Myingyan,MMR010017
 Semi-pacca house,764,1086,1850,Myingyan,MMR010017
 Wooden house,2730,11671,14401,Myingyan,MMR010017
 Bamboo,12985,27738,40723,Myingyan,MMR010017
 Hut 2 - 3 years,156,969,1125,Myingyan,MMR010017
 Hut 1 year,125,139,264,Myingyan,MMR010017
 Other,39,207,246,Myingyan,MMR010017
 Total,18897,43443,62340,Myingyan,MMR010017
 Condominium/Apartment/Flat,83,139,222,Taungtha,MMR010018
 Bungalow/Brick house,417,1963,2380,Taungtha,MMR010018
 Semi-pacca house,212,2060,2272,Taungtha,MMR010018
 Wooden house,400,6285,6685,Taungtha,MMR010018
 Bamboo,2664,31958,34622,Taungtha,MMR010018
 Hut 2 - 3 years,61,2849,2910,Taungtha,MMR010018
 Hut 1 year,11,370,381,Taungtha,MMR010018
 Other,15,365,380,Taungtha,MMR010018
 Total,3863,45989,49852,Taungtha,MMR010018
 Condominium/Apartment/Flat,12,52,64,Natogyi,MMR010019
 Bungalow/Brick house,355,2777,3132,Natogyi,MMR010019
 Semi-pacca house,138,2023,2161,Natogyi,MMR010019
 Wooden house,97,2231,2328,Natogyi,MMR010019
 Bamboo,2146,26780,28926,Natogyi,MMR010019
 Hut 2 - 3 years,75,2971,3046,Natogyi,MMR010019
 Hut 1 year,6,714,720,Natogyi,MMR010019
 Other,13,575,588,Natogyi,MMR010019
 Total,2842,38123,40965,Natogyi,MMR010019
 Condominium/Apartment/Flat,71,323,394,Kyaukpadaung,MMR010020
 Bungalow/Brick house,2071,2967,5038,Kyaukpadaung,MMR010020
 Semi-pacca house,674,4401,5075,Kyaukpadaung,MMR010020
 Wooden house,1377,23005,24382,Kyaukpadaung,MMR010020
 Bamboo,4785,20815,25600,Kyaukpadaung,MMR010020
 Hut 2 - 3 years,9,898,907,Kyaukpadaung,MMR010020
 Hut 1 year,21,162,183,Kyaukpadaung,MMR010020
 Other,5,377,382,Kyaukpadaung,MMR010020
 Total,9013,52948,61961,Kyaukpadaung,MMR010020
 Condominium/Apartment/Flat,40,18,58,Ngazun,MMR010021
 Bungalow/Brick house,233,2112,2345,Ngazun,MMR010021
 Semi-pacca house,102,1171,1273,Ngazun,MMR010021
 Wooden house,185,3149,3334,Ngazun,MMR010021
 Bamboo,1035,18041,19076,Ngazun,MMR010021
 Hut 2 - 3 years,36,1238,1274,Ngazun,MMR010021
 Hut 1 year,16,290,306,Ngazun,MMR010021
 Other,10,162,172,Ngazun,MMR010021
 Total,1657,26181,27838,Ngazun,MMR010021
 Condominium/Apartment/Flat,175,207,382,Nyaung U,MMR010022
 Bungalow/Brick house,1683,3014,4697,Nyaung U,MMR010022
 Semi-pacca house,926,2331,3257,Nyaung U,MMR010022
 Wooden house,703,4241,4944,Nyaung U,MMR010022
 Bamboo,5861,21765,27626,Nyaung U,MMR010022
 Hut 2 - 3 years,126,2338,2464,Nyaung U,MMR010022
 Hut 1 year,25,317,342,Nyaung U,MMR010022
 Other,16,934,950,Nyaung U,MMR010022
 Total,9515,35147,44662,Nyaung U,MMR010022
 Condominium/Apartment/Flat,130,454,584,Yame`thin,MMR010023
 Bungalow/Brick house,1114,2884,3998,Yame`thin,MMR010023
 Semi-pacca house,581,3139,3720,Yame`thin,MMR010023
 Wooden house,1993,29733,31726,Yame`thin,MMR010023
 Bamboo,1385,14904,16289,Yame`thin,MMR010023
 Hut 2 - 3 years,50,558,608,Yame`thin,MMR010023
 Hut 1 year,13,177,190,Yame`thin,MMR010023
 Other,61,83,144,Yame`thin,MMR010023
 Total,5327,51932,57259,Yame`thin,MMR010023
 Condominium/Apartment/Flat,182,296,478,Pyawbwe,MMR010024
 Bungalow/Brick house,1289,3097,4386,Pyawbwe,MMR010024
 Semi-pacca house,506,3973,4479,Pyawbwe,MMR010024
 Wooden house,1826,28768,30594,Pyawbwe,MMR010024
 Bamboo,3041,15042,18083,Pyawbwe,MMR010024
 Hut 2 - 3 years,12,269,281,Pyawbwe,MMR010024
 Hut 1 year,6,64,70,Pyawbwe,MMR010024
 Other,12,480,492,Pyawbwe,MMR010024
 Total,6874,51989,58863,Pyawbwe,MMR010024
 Condominium/Apartment/Flat,1963,1860,3823,Meiktila,MMR010028
 Bungalow/Brick house,3770,3095,6865,Meiktila,MMR010028
 Semi-pacca house,2564,3657,6221,Meiktila,MMR010028
 Wooden house,4059,12285,16344,Meiktila,MMR010028
 Bamboo,11327,22933,34260,Meiktila,MMR010028
 Hut 2 - 3 years,42,476,518,Meiktila,MMR010028
 Hut 1 year,168,108,276,Meiktila,MMR010028
 Other,70,62,132,Meiktila,MMR010028
 Total,23963,44476,68439,Meiktila,MMR010028
 Condominium/Apartment/Flat,88,1249,1337,Thazi,MMR010030
 Bungalow/Brick house,787,2447,3234,Thazi,MMR010030
 Semi-pacca house,439,2680,3119,Thazi,MMR010030
 Wooden house,2211,14901,17112,Thazi,MMR010030
 Bamboo,1192,18408,19600,Thazi,MMR010030
 Hut 2 - 3 years,-,342,342,Thazi,MMR010030
 Hut 1 year,1,114,115,Thazi,MMR010030
 Other,2,31,33,Thazi,MMR010030
 Total,4720,40172,44892,Thazi,MMR010030
 Condominium/Apartment/Flat,42,65,107,Wundwin,MMR010031
 Bungalow/Brick house,1067,2907,3974,Wundwin,MMR010031
 Semi-pacca house,334,2051,2385,Wundwin,MMR010031
 Wooden house,1619,9780,11399,Wundwin,MMR010031
 Bamboo,4185,31068,35253,Wundwin,MMR010031
 Hut 2 - 3 years,28,230,258,Wundwin,MMR010031
 Hut 1 year,9,87,96,Wundwin,MMR010031
 Other,16,81,97,Wundwin,MMR010031
 Total,7300,46269,53569,Wundwin,MMR010031
 Condominium/Apartment/Flat,3214,154,3368,Mawlamyine,MMR011001
 Bungalow/Brick house,8898,641,9539,Mawlamyine,MMR011001
 Semi-pacca house,6088,1630,7718,Mawlamyine,MMR011001
 Wooden house,26905,4184,31089,Mawlamyine,MMR011001
 Bamboo,3837,893,4730,Mawlamyine,MMR011001
 Hut 2 - 3 years,364,137,501,Mawlamyine,MMR011001
 Hut 1 year,205,53,258,Mawlamyine,MMR011001
 Other,223,31,254,Mawlamyine,MMR011001
 Total,49734,7723,57457,Mawlamyine,MMR011001
 Condominium/Apartment/Flat,11,258,269,Kyaikemaraw,MMR011002
 Bungalow/Brick house,118,2775,2893,Kyaikemaraw,MMR011002
 Semi-pacca house,246,4469,4715,Kyaikemaraw,MMR011002
 Wooden house,1641,23060,24701,Kyaikemaraw,MMR011002
 Bamboo,146,3464,3610,Kyaikemaraw,MMR011002
 Hut 2 - 3 years,11,1601,1612,Kyaikemaraw,MMR011002
 Hut 1 year,2,639,641,Kyaikemaraw,MMR011002
 Other,1,446,447,Kyaikemaraw,MMR011002
 Total,2176,36712,38888,Kyaikemaraw,MMR011002
 Condominium/Apartment/Flat,17,18,35,Chaungzon,MMR011003
 Bungalow/Brick house,254,1365,1619,Chaungzon,MMR011003
 Semi-pacca house,226,3562,3788,Chaungzon,MMR011003
 Wooden house,946,15042,15988,Chaungzon,MMR011003
 Bamboo,289,5519,5808,Chaungzon,MMR011003
 Hut 2 - 3 years,1,495,496,Chaungzon,MMR011003
 Hut 1 year,2,175,177,Chaungzon,MMR011003
 Other,9,24,33,Chaungzon,MMR011003
 Total,1744,26200,27944,Chaungzon,MMR011003
 Condominium/Apartment/Flat,124,319,443,Thanbyuzayat,MMR011004
 Bungalow/Brick house,1156,1966,3122,Thanbyuzayat,MMR011004
 Semi-pacca house,1565,2957,4522,Thanbyuzayat,MMR011004
 Wooden house,6638,13485,20123,Thanbyuzayat,MMR011004
 Bamboo,1700,3854,5554,Thanbyuzayat,MMR011004
 Hut 2 - 3 years,381,1096,1477,Thanbyuzayat,MMR011004
 Hut 1 year,101,629,730,Thanbyuzayat,MMR011004
 Other,50,213,263,Thanbyuzayat,MMR011004
 Total,11715,24519,36234,Thanbyuzayat,MMR011004
 Condominium/Apartment/Flat,163,368,531,Mudon,MMR011005
 Bungalow/Brick house,1759,2111,3870,Mudon,MMR011005
 Semi-pacca house,2312,5014,7326,Mudon,MMR011005
 Wooden house,4900,16810,21710,Mudon,MMR011005
 Bamboo,1498,3653,5151,Mudon,MMR011005
 Hut 2 - 3 years,99,426,525,Mudon,MMR011005
 Hut 1 year,17,99,116,Mudon,MMR011005
 Other,44,39,83,Mudon,MMR011005
 Total,10792,28520,39312,Mudon,MMR011005
 Condominium/Apartment/Flat,298,375,673,Ye,MMR011006
 Bungalow/Brick house,544,864,1408,Ye,MMR011006
 Semi-pacca house,552,1409,1961,Ye,MMR011006
 Wooden house,3307,13614,16921,Ye,MMR011006
 Bamboo,1215,6559,7774,Ye,MMR011006
 Hut 2 - 3 years,70,676,746,Ye,MMR011006
 Hut 1 year,17,311,328,Ye,MMR011006
 Other,110,70,180,Ye,MMR011006
 Total,6113,23878,29991,Ye,MMR011006
 Condominium/Apartment/Flat,11,186,197,Lamine,MMR011006
 Bungalow/Brick house,308,880,1188,Lamine,MMR011006
 Semi-pacca house,301,2711,3012,Lamine,MMR011006
 Wooden house,2090,9131,11221,Lamine,MMR011006
 Bamboo,133,2308,2441,Lamine,MMR011006
 Hut 2 - 3 years,106,320,426,Lamine,MMR011006
 Hut 1 year,13,112,125,Lamine,MMR011006
 Other,5,24,29,Lamine,MMR011006
 Total,2967,15672,18639,Lamine,MMR011006
 Condominium/Apartment/Flat,76,46,122,Khawzar,MMR011006
 Bungalow/Brick house,76,255,331,Khawzar,MMR011006
 Semi-pacca house,66,275,341,Khawzar,MMR011006
 Wooden house,468,2536,3004,Khawzar,MMR011006
 Bamboo,92,837,929,Khawzar,MMR011006
 Hut 2 - 3 years,-,55,55,Khawzar,MMR011006
 Hut 1 year,-,30,30,Khawzar,MMR011006
 Other,-,6,6,Khawzar,MMR011006
 Total,778,4040,4818,Khawzar,MMR011006
 Condominium/Apartment/Flat,296,1043,1339,Thaton,MMR011007
 Bungalow/Brick house,1317,1800,3117,Thaton,MMR011007
 Semi-pacca house,1551,2869,4420,Thaton,MMR011007
 Wooden house,5826,20993,26819,Thaton,MMR011007
 Bamboo,1481,9287,10768,Thaton,MMR011007
 Hut 2 - 3 years,96,1076,1172,Thaton,MMR011007
 Hut 1 year,62,400,462,Thaton,MMR011007
 Other,77,110,187,Thaton,MMR011007
 Total,10706,37578,48284,Thaton,MMR011007
 Condominium/Apartment/Flat,69,302,371,Paung,MMR011008
 Bungalow/Brick house,681,2429,3110,Paung,MMR011008
 Semi-pacca house,692,3240,3932,Paung,MMR011008
 Wooden house,3942,23010,26952,Paung,MMR011008
 Bamboo,356,6498,6854,Paung,MMR011008
 Hut 2 - 3 years,77,1147,1224,Paung,MMR011008
 Hut 1 year,47,548,595,Paung,MMR011008
 Other,38,650,688,Paung,MMR011008
 Total,5902,37824,43726,Paung,MMR011008
 Condominium/Apartment/Flat,204,1171,1375,Kyaikto,MMR011009
 Bungalow/Brick house,949,1338,2287,Kyaikto,MMR011009
 Semi-pacca house,765,1916,2681,Kyaikto,MMR011009
 Wooden house,3930,15143,19073,Kyaikto,MMR011009
 Bamboo,1421,8985,10406,Kyaikto,MMR011009
 Hut 2 - 3 years,142,1054,1196,Kyaikto,MMR011009
 Hut 1 year,41,641,682,Kyaikto,MMR011009
 Other,64,324,388,Kyaikto,MMR011009
 Total,7516,30572,38088,Kyaikto,MMR011009
 Condominium/Apartment/Flat,402,252,654,Bilin,MMR011010
